Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Divergent Trilogy (Set of 3 Books)  ,ভেরোনিকা রথ,"","TK. 2,698",https://rokomari.com//book/84939/divergent-trilogy--set-of-3-books-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_84939.gif,"Divergent-in the world of Divergent, society is divided into five factions and all are forced to choose where they belong. The choice Beatrice Prior makes shocks everyone, including herself. Once decisions are made faction members are forced to undergo extreme initiation tests with devastating consequences. Tris must determine who her friends are and whether the man who both threatens and protects her is really on her side. Because Tris has a deadly secret. As growing conflict threatens to unravel their seemingly perfect society, this secret might save those Tris loves or it might destroy her.

Insurgent-one choice can transform you or it can destroy you. Tris Priors initiation day should have been marked by celebrations, instead it ended with unspeakable horrors. Now unrest surges in the factions around her as conflict between their ideologies grows. In times of war sides must be chosen and secrets will emerge. Tris has already paid a terrible price for survival and is wracked by haunting guilt. But radical new discoveries and shifting relationships mean that she must fully embrace her Divergence-even though she stands to lose everything.

Allegiant-the faction-based society that Tris once believed in is shattered-fractured by violence and power struggles and scarred by loss and betrayal. So when offered a chance to explore the world past the limits shes known, Tris is ready. Perhaps beyond the fence, she will find a simple new life, free from complicated lies, tangled loyalties and painful memories. But Triss new reality is even more alarming than the one she left behind. And once again, Tris must battle to comprehend the complexities of human nature-and of herself-while facing impossible choices about courage, allegiance, sacrifice and love.",Divergent Trilogy (Set of 3 Books),Veronica Roth, , ,A Harper Collins Childrens Books,9780007591374,"1st Edition,2015",1616,India,English
The Giver,লুইস লোরি ,"",TK. 630,https://rokomari.com//book/144846/the-giver,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5cc0e9825204_144846.jpg,"",The Giver,Lois Lowry , , ,A Harper Collins Childrens Books,9780007341764,"1st Edition,2017",240,India,English
Happily Ever After,কাইরা কেস,"",TK. 630,https://rokomari.com//book/129819/happily-ever-after,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a5795f538_129819.jpg,"",Happily Ever After,Kiera Cass, , ,A Harper Collins Childrens Books,9780008143664,"1st Edition,2016",320,India,English
Alibaba ,ডানকান ক্লার্ক,"",TK. 540,https://rokomari.com//book/172835/alibaba,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e47b91d3e_172835.jpg,"",Alibaba,Duncan Clark, , ,A Harper Collins Childrens Books,9780062562555,"1st Edition,2016", ,India,English
The Times Su Doku Book 1 ,ওয়ানে গোল্ড ,"",TK. 680,https://rokomari.com//book/102398/the-times-su-doku-book-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2b9b2cd2_102398.jpg,"",The Times Su Doku Book 1,Wane Gould, , ,A Harper Collins Childrens Books,9780007832668,"Reprinted,2015",100,India,English
"They Call Me Creature (The Nightmare Room, Book 6)",আর.এল. স্টাইন,"",TK. 511,https://rokomari.com//book/52503/they-call-me-creature--the-nightmare-room--book-6-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52503.GIF,"","They Call Me Creature (The Nightmare Room,Book 6)",R.L. Stine, , ,A Harper Collins Childrens Books,9780007251353,"1st Edition,2006",144,India,English
Predator,উইলবার স্মিথ,"",TK. 718,https://rokomari.com//book/129777/predator,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/30f912e34_129777.jpg,"",Predator,Wilbur Smith, , ,A Harper Collins Childrens Books,9780008171384,"1st Edition,2016",416,India,English
Awful Auntie,ডেভিড ওয়ালিয়ামস,"",TK. 622,https://rokomari.com//book/193634/awful-auntie,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/668f91ee8_193634.jpg,"",Awful Auntie,David Walliams, , ,A Harper Collins Childrens Books,9780007453627,"1st Edition,2016",416,USA,English
The Chronicles of Narnia ,সি. এস. লিউইস,"","TK. 3,411",https://rokomari.com//book/84466/the-chronicles-of-narnia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_84466.gif,"Journeys to the end of the world, fantastic creatures, and epic battles between good and evil -- what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.

For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.

This edition presents all seven books -- unabridged -- in one impressive volume. The books are presented here according to Lewis' preferred order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.",The Chronicles of Narnia,C. S. Lewis, , ,A Harper Collins Childrens Books,9780066238500,"1st Edition,2001",766,India,English
The Choronicles of Narnia ,সি. এস. লিউইস,"","TK. 1,611",https://rokomari.com//book/53034/the-choronicles-of-narnia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_53034.GIF,"",The Choronicles of Narnia,C. S. Lewis, , ,A Harper Collins Childrens Books,9780974240589,"1st Edition,2005",305,India,English
The Siren ,কাইরা কেস,"",TK. 630,https://rokomari.com//book/194496/the-siren,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",The Siren,Kiera Cass, , ,A Harper Collins Childrens Books,9780008174941,"1st Edition,2016",400,India,English
The Selection Stories: The Prince and The Guard,কাইরা কেস,"",TK. 630,https://rokomari.com//book/194482/the-selection-stories--the-prince-and-the-guard,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a159f68f5_194482.jpg,"",The Selection Stories: The Prince and The Guard,Kiera Cass, , ,A Harper Collins Childrens Books,9780008152154,"1st Edition,2015",272,India,English
The Selection: The Heir - 4,কাইরা কেস,"",TK. 653,https://rokomari.com//book/194481/the-selection--the-heir---4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f623e4ac_194481.jpg,"",The Selection: The Heir - 4,Kiera Cass, , ,A Harper Collins Childrens Books,9780008152147,"1st Edition,2015",368,India,English
Destined,এপ্রিলিন পাইক,"","TK. 1,090",https://rokomari.com//book/52365/destined,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140931_52365.gif,"Laurel faces the fight of her life to save everything , and everyone, she loves. This is the final part of the extraordinary faerie tale which began in the bestselling novel WINGS described by Stephenie Meyer as a remarkable debut’.

Laurel lived happily as an ordinary girl–until she discovered that she was a faerie. Since then her heart has been divided–Avalon or the human world? Safe reliable David or wild, charismatic Tamani? But now an enemy unlike any before, threatens Avalon and unless the faerie world can win out, there may be no choices left…

An extraordinary faerie tale of magic and mystery, romance and danger",Destined,Aprilynne Pike, , ,A Harper Collins Childrens Books,9780007314393,"1st Edition,2012",356,India,English
The NightMare Room (Visitors),আর.এল. স্টাইন,"",TK. 665,https://rokomari.com//book/52494/the-nightmare-room--visitors-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52494.GIF,"",The NightMare Room (Visitors),R.L. Stine, , ,A Harper Collins Childrens Books,9780007104628,"1st Edition,2001",144,India,English
The Nightmare Room Thrillogy-2 (What Scares you the most?),আর.এল. স্টাইন,"","TK. 2,576",https://rokomari.com//book/52500/the-nightmare-room-thrillogy-2--what-scares-you-the-most--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52500.GIF,"",The Nightmare Room Thrillogy-2 (What Scares you the most?),R.L. Stine, , ,A Harper Collins Childrens Books,9780064410410,"1st Edition,2001",160,India,English
The Nightmare Room Thrillogy-3 (No Survivors),আর.এল. স্টাইন,"","TK. 10,765",https://rokomari.com//book/52501/the-nightmare-room-thrillogy-3--no-survivors-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52501.GIF,"",The Nightmare Room Thrillogy-3 (No Survivors),R.L. Stine, , ,A Harper Collins Childrens Books,9780064410359,"1st Edition,2001",160,India,English
