Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কানমলা,মুসা আল হাফিজ,TK. 150,TK. 113,https://rokomari.com//book/164745/kanmola,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1a9c3c87_164745.jpg,"",কানমলা,মুসা আল হাফিজ, , ,বলাকা প্রকাশন (ঢাকা),9789849313878,"1st published,2018",50,বাংলাদেশ,বাংলা
প্রণয় পঙ্‌ক্তি,বুলবুল সরওয়ার,TK. 200,TK. 150,https://rokomari.com//book/132540/pronoy-ponkti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dfdce3a8c9e4_132540.jpg,"",প্রণয় পঙ্‌ক্তি,বুলবুল সরওয়ার, , ,বলাকা প্রকাশন (ঢাকা),9789849261278,"1st Published,2017",104,বাংলাদেশ,বাংলা
জাপানে রবীন্দ্রনাথ,প্রবীর বিকাশ সরকার,TK. 310,TK. 233,https://rokomari.com//book/132577/japane-rabindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/525567af7c74_132577.jpg,"",জাপানে রবীন্দ্রনাথ,প্রবীর বিকাশ সরকার, , ,বলাকা প্রকাশন (ঢাকা),9789849261490,"1st Published,2017",80,বাংলাদেশ,বাংলা
আহ্ পাকিস্তান,নিয়ন মতিয়ূল,TK. 160,TK. 120,https://rokomari.com//book/132546/ah-pakistan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/16cd0917dad4_132546.jpg,"",আহ্ পাকিস্তান,নিয়ন মতিয়ূল, , ,বলাকা প্রকাশন (ঢাকা),9789849261360,"1st Published,2017",80,বাংলাদেশ,বাংলা
ঘূর্ণি,সেলিম আজাদ চৌধুরী,TK. 240,TK. 180,https://rokomari.com//book/132535/ghurni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f174a6306464_132535.jpg,"",ঘূর্ণি,সেলিম আজাদ চৌধুরী, , ,বলাকা প্রকাশন (ঢাকা),9789849261247,"1st Published,2017",116,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধ ভাষা আন্দোলনের অবধারিত পরিণতি,হুমায়ুন আজাদ,TK. 150,TK. 113,https://rokomari.com//book/28760/muktijuddho-vasha-andoloner-obodharito-porinoti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e61b9a94_28760.jpg,"ফ্ল্যাপে লিখা কথা
এই সময় একং সংকটের অন্তর্ভেদী বিশ্লেষক, স্বাধীনচেতা মানুষের প্রতিভূ, আমাদের একমাত্র মেরুদন্ড হুমায়ুন আজাদ যিনি ছিলেন একলা পর্বতের মতো উদ্ধত, বেঁচে ছিলেন নিঃসঙ্গ মহাবৃক্ষরুপে। জীবতকালে তাঁর বেশ কিছু সাক্ষাৎকার আমরা গ্রহণ করি। সেসব সাক্ষাৎকারে তিনি দেশ-রাজনীতি,ধর্ম-মুক্তিযুদ্ধ-সমাজ-সাহিত্য-নিষিদ্ধ গ্রন্থ, চলচ্ছিত্র এবং তাঁর ছেলেবেলা প্রসঙ্গে অকপটে প্রকৃত সত্য উচ্চারণ করেছেন নির্ভয়ে:যা সময়েরই অনন্য দলিল......সূচি*মুক্তিযুদ্ধ ভাষা আন্দোলনের অবধারিত পরিণতি*শেকড় ছড়ানো সকল সূত্রে এককী ঘুণপোকা*সকলই অর্থহীন নির্বোধ অনুশোচনাপ্রাককথনতুচ্ছদের প্রাদান্যের কালে যিনি নিঃসঙ্গ মহাবৃক্ষরুপে বেঁচেছিলেন তিনি এই সময়ের শ্রেষ্ঠ প্রতিভা হুমায়ুন আজাদ। যাঁর ভেতরে অবিরাম রক্তক্ষরণ হয়েছে পাশব-বাস্তবের সঙ্গে অদৃশ্য যুদ্ধে। সে যুদ্ধেও যিনি ছিলেন একান্তই এককী। এক কিন্তু এই বাংলায় এভারেস্ট সমান উচ্চতা নিয়েই দাড়িয়ে ছিলেন তিণি। তাঁকে সেই একাত্তরের পরাজিত জল্লাদেরা হত্যা করেছে এই স্বাধীন ভূখন্ডে! কিন্তু তিনি তাঁর অসামান্য কীর্তির জন্য অবিনশ্বর থেকে যাবেন বাঙলা ও বাঙালির অন্তরে। 
পত্রিকার কাজে ঢাকা গেলে হাজার কাজের মাঝেও হুমায়ুন আজাদ স্যারের সঙ্গে দেখা করে আসতামই এবং সুযোগ পেলে কোনো না কোনো বিষয়ের উপরে জানতে চাইতাম , ভালো লাগলে স্যার উত্তর দিতেন নয়তো এড়িয়ে যেতেন। তেমনি ২০০২ সালে ঢাকা বিশ্ববিদ্যালয়ের আমাদের মাতৃভাষাকে আন্তর্জাতিক মাতৃভাষা দিবস ঘোষণায় স্যারের প্রতিক্রিয়া জানতে চাইলে তিনি সানন্দে রাজী হন।এবং ৮ ফেব্রুয়ারি  ২০০২ সালে ঢাকা বিশ্ববিদ্যালয়ের লেকচার থিয়েটারস্থ কক্ষে বিকেল তাঁর গুরুত্ব পূর্ন প্রতিক্রিয়াটি রেকর্ডে ধারন করি -যা ‘মুক্তিযুদ্ধ ভাষা আন্দোলনের অবধারিত পরিণতি ‘ শীর্ষক নামে মাসিক বলাকায় প্রকাশিত হয়। তেমনি অন্য দুটো সাক্ষাৎকার ছোট কাগজ  ‘অর্কেস্ট্রা’ এবং ‘বিবর্তন’- এ প্রকাশিত হয়েছে। তাদের  অনুমতি নিয়ে সাক্ষাৎকার দুটোও এ গন্থে সূচিবদ্ধ হল। শরীফা বুলবুর
২৮ জানুয়ারি ২০৭,চট্রগ্রাম",মুক্তিযুদ্ধ ভাষা আন্দোলনের অবধারিত পরিণতি,হুমায়ুন আজাদ, ,শরীফা বুলবুল,বলাকা প্রকাশন (ঢাকা),9789849313762,"2nd Printed,2019",43,বাংলাদেশ,বাংলা
গোপাল ভাঁড়ের শতগল্প,বিশাখা চেীধুরী,TK. 250,TK. 188,https://rokomari.com//book/164766/gopal-bhareer-shatogolpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5e1002697_164766.jpg,"",গোপাল ভাঁড়ের শতগল্প, , ,বিশাখা চেীধুরী,বলাকা প্রকাশন (ঢাকা),9789849313892,"1st published,2018",120,বাংলাদেশ,বাংলা
কুড়িয়ে পাওয়া কৃষ্ণচূড়া,সানজিদা আফরোজ শিমু,TK. 150,TK. 113,https://rokomari.com//book/179113/kuriye-paowa-krishnochura,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d33a8bb1c_179113.jpg,"",কুড়িয়ে পাওয়া কৃষ্ণচূড়া,সানজিদা আফরোজ শিমু, , ,বলাকা প্রকাশন (ঢাকা),9789848024249,"1st Published,2019",64,বাংলাদেশ,বাংলা
সরীসৃপের হাসি,রায়ান নূর,TK. 240,TK. 180,https://rokomari.com//book/132548/sharisriper-hasi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7f5881cff44_132548.jpg,"",সরীসৃপের হাসি,রায়ান নূর, , ,বলাকা প্রকাশন (ঢাকা),9789849261391,"1st Published,2017",116,বাংলাদেশ,বাংলা
অসহযোগ আন্দোলন ১৯৭১ ক্রমপঞ্জি,অমিত কে. বিশ্বাস,TK. 220,TK. 165,https://rokomari.com//book/132602/ashojog-andolon-1971-cromoponji,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ad7e5e495514_132602.jpg,"",অসহযোগ আন্দোলন ১৯৭১ ক্রমপঞ্জি,অমিত কে. বিশ্বাস, , ,বলাকা প্রকাশন (ঢাকা),9789849261216,"1st Published,2017",104,বাংলাদেশ,বাংলা
একশ জাপানি কবিতা,আকাশ মাহমুদ,TK. 260,TK. 195,https://rokomari.com//book/132509/eksho-japani-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d5ab1b02e524_132509.jpg,"",একশ জাপানি কবিতা, ,আকাশ মাহমুদ, ,বলাকা প্রকাশন (ঢাকা),9789849261483,"1st Published,2017",120,বাংলাদেশ,বাংলা
সুড়ঙ্গ,সেলিম আজাদ চৌধুরী,TK. 300,TK. 225,https://rokomari.com//book/132489/surango,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa36ecb9c5f4_132489.jpg,"",সুড়ঙ্গ,সেলিম আজাদ চৌধুরী, , ,বলাকা প্রকাশন (ঢাকা),9789849261339,"1st Published,2017",142,বাংলাদেশ,বাংলা
প্রমাণ্য দলিল মুক্তিযুদ্ধে চট্টগ্রাম,গাজী সালেজ উদ্দিন,"TK. 1,500","TK. 1,125",https://rokomari.com//book/28451/promanno-dolil-muktijuddhe-chatting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রমাণ্য দলিল মুক্তিযুদ্ধে চট্টগ্রাম,গাজী সালেজ উদ্দিন, , ,বলাকা প্রকাশন (ঢাকা),9789849313793,"1st Published,2018",244,বাংলাদেশ,বাংলা
পলিটিশিয়ান,কাসেম আলী রানা,TK. 150,TK. 113,https://rokomari.com//book/192314/politician,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পলিটিশিয়ান,কাসেম আলী রানা, , ,বলাকা প্রকাশন (ঢাকা),9789848024027,"1st Published,2018",60,বাংলাদেশ,বাংলা
কোন কূলে আজ ভিড়ল তরী,সেলিম আজাদ চৌধুরী,TK. 200,TK. 150,https://rokomari.com//book/164796/kon-kule-aj-virlo-tory,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/356fe10f6_164796.jpg,"",কোন কূলে আজ ভিড়ল তরী,সেলিম আজাদ চৌধুরী, , ,বলাকা প্রকাশন (ঢাকা),9789849313809,"1st Published,2018",104,বাংলাদেশ,বাংলা
