Title,Author,Original Price,Discounted Price,URL
কাছে দুরের কক্ষপথে,কেতকী কুশারী ডাইসন,"১,৯০০.০০ টাকা","১,৮০৫.০০ টাকা",https://www.prothoma.com/product/10375/%E0%A6%95%E0%A6%BE%E0%A6%9B%E0%A7%87-%E0%A6%A6%E0%A7%81%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%AA%E0%A6%A5%E0%A7%87
বঙ্গে বর্গিহাঙ্গামা ইতিহাস ও কিংবদন্তি,স্বপন কুমার ঠাকুর,৭৬০.০০ টাকা,৭২২.০০ টাকা,https://www.prothoma.com/product/10374/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A7%87-%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%97%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%AE%E0%A6%BE-%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8-%E0%A6%93-%E0%A6%95%E0%A6%BF%E0%A6%82%E0%A6%AC%E0%A6%A6%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BF
ইতিহাসের তর্কে বিতর্কে,অশোক সেন,"১,০৪৫.০০ টাকা",৯৯২.৭৫ টাকা,https://www.prothoma.com/product/10372/%E0%A6%87%E0%A6%A4%E0%A6%BF%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87-%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%95%E0%A7%87
বিজ্ঞানের দর্শন,প্রদীপ বসু,৭২২.০০ টাকা,৬৮৫.৯০ টাকা,https://www.prothoma.com/product/10370/%E0%A6%AC%E0%A6%BF%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%A6%E0%A6%B0%E0%A7%8D%E0%A6%B6%E0%A6%A8
নীতিশাস্ত্র ও অর্থনীতি বিষয়ে,অমর্ত্য সেন,৩২৩.০০ টাকা,৩০৬.৮৫ টাকা,https://www.prothoma.com/product/10369/%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF%E0%A6%B6%E0%A6%BE%E0%A6%B8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0-%E0%A6%93-%E0%A6%85%E0%A6%B0%E0%A7%8D%E0%A6%A5%E0%A6%A8%E0%A7%80%E0%A6%A4%E0%A6%BF-%E0%A6%AC%E0%A6%BF%E0%A6%B7%E0%A6%AF%E0%A6%BC%E0%A7%87
কবিতার সহজপাঠ,সুভাষ ভট্টাচার্য,৪৯৪.০০ টাকা,৪৬৯.৩০ টাকা,https://www.prothoma.com/product/10367/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%B8%E0%A6%B9%E0%A6%9C%E0%A6%AA%E0%A6%BE%E0%A6%A0
বঙ্কিম পরিবারের মহিলাদের কথা ও চিঠি,বিজলি সরকার,৬৮৪.০০ টাকা,৬৪৯.৮০ টাকা,https://www.prothoma.com/product/10366/%E0%A6%AC%E0%A6%99%E0%A7%8D%E0%A6%95%E0%A6%BF%E0%A6%AE-%E0%A6%AA%E0%A6%B0%E0%A6%BF%E0%A6%AC%E0%A6%BE%E0%A6%B0%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%B9%E0%A6%BF%E0%A6%B2%E0%A6%BE%E0%A6%A6%E0%A7%87%E0%A6%B0-%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%93-%E0%A6%9A%E0%A6%BF%E0%A6%A0%E0%A6%BF
শিক্ষাচিন্তা,রবীন্দ্রনাথ ঠাকুর,"১,৫২০.০০ টাকা","১,৪৪৪.০০ টাকা",https://www.prothoma.com/product/10364/%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%BE%E0%A6%9A%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%BE
কাকোরি ষড়যন্ত্র,শ্রী মণীন্দ্র নারায়ণ রায়,৫৩২.০০ টাকা,৫০৫.৪০ টাকা,https://www.prothoma.com/product/10362/%E0%A6%95%E0%A6%BE%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%BF-%E0%A6%B7%E0%A6%A1%E0%A6%BC%E0%A6%AF%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%8D%E0%A6%B0
মনীষী সঙ্গমে নিজস্ব নির্জনে,Martin Kampchen,৭৬০.০০ টাকা,৭২২.০০ টাকা,https://www.prothoma.com/product/9062/%E0%A6%AE%E0%A6%A8%E0%A7%80%E0%A6%B7%E0%A7%80-%E0%A6%B8%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%AE%E0%A7%87-%E0%A6%A8%E0%A6%BF%E0%A6%9C%E0%A6%B8%E0%A7%8D%E0%A6%AC-%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%A8%E0%A7%87
