Title,Author,Original Price,Discounted Price,URL
যে আসে যে যায়,জ্যোতিপ্রকাশ দত্ত,২০০.০০ টাকা,১৫০.০০ টাকা,https://www.prothoma.com/product/8229/%E0%A6%AF%E0%A7%87-%E0%A6%86%E0%A6%B8%E0%A7%87-%E0%A6%AF%E0%A7%87-%E0%A6%AF%E0%A6%BE%E0%A6%AF%E0%A6%BC
বাঙালির নষ্টামি,সমরেশ মজুমদার,৪২৫.০০ টাকা,৩১৮.৭৫ টাকা,https://www.prothoma.com/product/8222/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%B0-%E0%A6%A8%E0%A6%B7%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%AE%E0%A6%BF
প্রভাতসূর্য : রবীন্দ্রনাথ সার্ধশত জন্মবর্ষ স্মরণ,ভীষ্মদেব চৌধুরী,৮০০.০০ টাকা,৬০০.০০ টাকা,https://www.prothoma.com/product/8203/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AD%E0%A6%BE%E0%A6%A4%E0%A6%B8%E0%A7%82%E0%A6%B0%E0%A7%8D%E0%A6%AF-:-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5-%E0%A6%B8%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%A7%E0%A6%B6%E0%A6%A4-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%AC%E0%A6%B0%E0%A7%8D%E0%A6%B7-%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A6%B0%E0%A6%A3
চুনীপান্নার দেশে,আনোয়ারা বেগম,৫০.০০ টাকা,৩৭.৫০ টাকা,https://www.prothoma.com/product/8004/%E0%A6%9A%E0%A7%81%E0%A6%A8%E0%A7%80%E0%A6%AA%E0%A6%BE%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A6%BE%E0%A6%B0-%E0%A6%A6%E0%A7%87%E0%A6%B6%E0%A7%87
বাল্মীকি রামায়ণ,রাজশেখর বসু,৪০০.০০ টাকা,৩০০.০০ টাকা,https://www.prothoma.com/product/7559/%E0%A6%AC%E0%A6%BE%E0%A6%B2%E0%A7%8D%E0%A6%AE%E0%A7%80%E0%A6%95%E0%A6%BF-%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%AF%E0%A6%BC%E0%A6%A3
কিশোর উপন্যাস সংগ্রহ - মাহবুব সাদিক,মাহবুব সাদিক,৩৪০.০০ টাকা,২৫৫.০০ টাকা,https://www.prothoma.com/product/7017/%E0%A6%95%E0%A6%BF%E0%A6%B6%E0%A7%8B%E0%A6%B0-%E0%A6%89%E0%A6%AA%E0%A6%A8%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B8-%E0%A6%B8%E0%A6%82%E0%A6%97%E0%A7%8D%E0%A6%B0%E0%A6%B9---%E0%A6%AE%E0%A6%BE%E0%A6%B9%E0%A6%AC%E0%A7%81%E0%A6%AC-%E0%A6%B8%E0%A6%BE%E0%A6%A6%E0%A6%BF%E0%A6%95
কবিতার ক্লাস,নীরেন্দ্রনাথ চক্রবর্তী,১৯০.০০ টাকা,১৪২.৫০ টাকা,https://www.prothoma.com/product/6037/%E0%A6%95%E0%A6%AC%E0%A6%BF%E0%A6%A4%E0%A6%BE%E0%A6%B0-%E0%A6%95%E0%A7%8D%E0%A6%B2%E0%A6%BE%E0%A6%B8
Bangladesh and its Neighbours,আবদুল মান্নান সৈয়দ,৫০০.০০ টাকা,৩৭৫.০০ টাকা,https://www.prothoma.com/product/5998/bangladesh-and-its-neighbours
বাঙ্গালী মুসলমানের উৎপত্তি ও বাঙ্গালী জাতির বিকাশের ধারা ৩,সৈয়দ আব্দুল হালিম,৪০০.০০ টাকা,৩০০.০০ টাকা,https://www.prothoma.com/product/5912/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A7%8E%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%A7%E0%A6%BE%E0%A6%B0%E0%A6%BE-%E0%A7%A9
বাঙ্গালী মুসলমানের উৎপত্তি ও বাঙ্গালী জাতির বিকাশের ধারা ২,সৈয়দ আব্দুল হালিম,৬২০.০০ টাকা,৪৬৫.০০ টাকা,https://www.prothoma.com/product/5910/%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%AE%E0%A7%81%E0%A6%B8%E0%A6%B2%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%89%E0%A7%8E%E0%A6%AA%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF-%E0%A6%93-%E0%A6%AC%E0%A6%BE%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE%E0%A6%B2%E0%A7%80-%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A6%BF%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%95%E0%A6%BE%E0%A6%B6%E0%A7%87%E0%A6%B0-%E0%A6%A7%E0%A6%BE%E0%A6%B0%E0%A6%BE-%E0%A7%A8
