Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
উল্টা বলে পাল্টাকে,শফিক ইমতিয়াজ,TK. 100,TK. 90,https://rokomari.com//book/61564/ulta-bole-paltake,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc0c6d3e4_61564.jpg,"",উল্টা বলে পাল্টাকে,শফিক ইমতিয়াজ, , ,সিদ্দিকীয়া পাবলিকেশন্স,984891398X,"1st Published,2013",64,বাংলাদেশ,বাংলা
সেরা ১০০ ,ফারুক নওয়াজ,TK. 160,TK. 112,https://rokomari.com//book/18373/shera-100,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e61abb6054c4_18373.gif,"",সেরা ১০০,ফারুক নওয়াজ, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848912886,"1st Published,2010",120,বাংলাদেশ,বাংলা
মৈমনসিং গীতিকাভাসান,ফরিদ আহমদ দুলাল,TK. 80,TK. 72,https://rokomari.com//book/61804/moymonsing-gitikabhasan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_61804.GIF,"",মৈমনসিং গীতিকাভাসান,ফরিদ আহমদ দুলাল, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848913874,"1st Published,2013",48,বাংলাদেশ,বাংলা
চাঁদ কখনো ঈদের চাঁদ ,আতিক রহমান,TK. 50,TK. 30,https://rokomari.com//book/18431/chad-kakhono-eder-chad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ce66be6ed024_18431.gif,"",চাঁদ কখনো ঈদের চাঁদ,আতিক রহমান, , ,সিদ্দিকীয়া পাবলিকেশন্স, ,"1st Published,2008",24,বাংলাদেশ,বাংলা
নীল জোছনায় মিথিলা একা,লিটন হাবিব,TK. 200,TK. 176,https://rokomari.com//book/62974/nil-josnaya-mithila-aka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_62974.GIF,"",নীল জোছনায় মিথিলা একা,লিটন হাবিব, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848913866,"1st Published,2013",127,বাংলাদেশ,বাংলা
বিশ্বনবী (স.) এর মেরাজ ও অলৌকিক ঘটনাবলী (কোরআন হাদীসের আলোকে),আলহাজ্ব মাওলানা ফজলুল করিম,TK. 250,TK. 175,https://rokomari.com//book/42526/bishwonobi--sm---er-meraj-o-oloukik-ghotonaboli--quran-hadiser-aloke-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fd53af957_42526.jpg,"",বিশ্বনবী (স.) এর মেরাজ ও অলৌকিক ঘটনাবলী (কোরআন হাদীসের আলোকে),আলহাজ্ব মাওলানা ফজলুল করিম, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848910580,"5th Published,2010",368,বাংলাদেশ,বাংলা
কাটুম,আনিসুল হক,TK. 80,TK. 56,https://rokomari.com//book/41799/katum,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e589bf2ef_41799.jpg,"",কাটুম,"আনিসুল হক,মরলে আর্নল্ড",আনিসুল হক, ,সিদ্দিকীয়া পাবলিকেশন্স,9848913440,"1st Published,2011",16,বাংলাদেশ,বাংলা
কোরআন হাদিসের আলোকে দোয়া দরূদ ও আমলিয়াত,মাওলানা মুহাম্মদ আব্দুর রহমান খন্দকার,TK. 300,TK. 210,https://rokomari.com//book/68033/quran-hadither-aloke-dowa-dorud-o-amliyat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d025af1a_68033.jpg,"'কোরআন হাদিসের আলোকে দোয়া দরূদ ও আমলিয়াত' বইটির ভূমিকা:
সমস্ত প্রশংসা মহান আল্লাহ জন্য, যিনি মানুষকে শুধু তাঁরই ইবাদত বন্দেগী করার জন্য সৃষ্টি করেছেন। সর্বশ্রেষ্ট ও সর্বশেষ নবী হযরত মুহাম্মদ মোস্তফা সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম এর উপর অসংখ্য দরূদ ও সালাম, যার উসিলায় আমরা আমলের ইলিম পেয়েছি এবং যা দ্বারা পরকালে মুক্তি পেতে পারি।
ইসলামের মহান আদর্শ আমাদের সম্মুখে থাকা সত্বেও আমরা অনেক কাজে ইসলাম বিরোধী লোকদেরকে অনুকরণ করতে শিখেছি। বিশেষ করে যারা পাশ্চাত্য শিক্ষায় শিক্ষিত হচ্ছেন তাদের অনেকেই ইসলামের আধ্যাতিক রীতি নীতি হতে দূরে সরে পরতেছেন। এ ছাড়া যারা ইসলামের পথে আছেন তারা বাজারের বিভিন্ন রকম ভুল তথ্য যুক্ত বই পুস্তক পড়ে বিপদগামী হচ্ছেন। তাই সবদিক বিবেচনা করে, মহান আল্লাহর অশেষ মেহেরবাণীতে আমি বিভিন্ন সহীহ কেতাব বিভিন্ন অংশ থেকে এগ্রন্থটি সংকলন করেছি। এতে জীবনের সকল প্রয়োজনীয় দোয়া দুরূদসমূহ আমল অজিফা গুলো উচ্চারণ ও প্রয়োজনীয় স্থানে অর্থসহ সুন্দর ভাবে উপস্থাপন করেছি। এ কিতাব প্রণয়নে যারা কঠোর শ্রম ও কষ্ট স্বীকার করে বিভিন্ন প্রকারে সাহায্য সহযোগিতা করেছেন, তাদের প্রত্যেকের জন্য দোয়া করি, মহান আল্লাহ যেন আমাকে ও তাদের প্রত্যেককে তাঁর অশেষ রহমত ও মাগফিরাত দান করেন এবং খাতেমা বিল খায়ের নছীব করেন। আর তাঁর প্রিয় হাবীব হযরত মুহাম্মদ সাল্লাল্লাহু আলাইহি ওয়া সাল্লামের মহব্বত দ্বারা তাদের ও আমাদের কবরকে সিক্ত ও জিন্দা করে দেন। এ কেতাবখানা পাঠ করে মুসলিম সমাজ উপকৃত হলে আমার ও আমাদের শ্রম স্বার্থক হবে বলে আমি আশা রাখি।
প্রুফ দেখা ও ছাপার কারণে ভুল হয়ে যাওয়া অস্বাভাবিক কিছু নয়। তাই যদি এ কিতাবে কোন ভুল ত্রুটি পাঠকের গোচরীভূত হয় তা সমালোচনার দৃষ্টিতে না দেখে সরাসরি আমাদের নিকট জানালে উপকৃত হব এবং পরবর্তী সংস্করনে সংশোধন করে দিতে পারব। ইনশাআল্লাহ!
আরজ ওজায় সংকলক
সূচিপত্র:
বিষয়
পৃষ্ঠা
আতাউ বা আশ্রয় প্রার্থনা ১৫ ৭টি আয়াতে সালাম ৬৭
তাসমিয়া বা বিসমিল্লাহর বৈশিষ্ট্য ১৬ তেত্রিশ আয়াতের ফযীলত ৬৮
আমল ও ফযীলত ১৬ ইসমে আযমের ফযীলত ৭৩
দোয়া করার আদব ২০ ইসমে আযম ৭৪
যিকির করার আদব ২২ হরফে মুকাত্তায়াত এর আমল ও ফযীলত ৭৪
দোয়া কবুল হওয়ার সময় ২৩ হরফে মুকাত্তায়াতের ফযীলত ৭৫
যে সকল অবস্থায় দোয়া কবুল হয় ২৪
এর ফযীলত ৭৫ 
দোয়া কবুলের স্থানসমূহ ২৫ এর ফযীলত ৭৬
যাদের দোয়া দ্রুত কবুল হয় ২৬ এর ফযীলত ৭৬
দোয়া কবুলের ক্ষেত্রে এসমে আযম ২৭ দোয়া প্রার্থনা করার ফযীলত এর আলােচনা ২৯এর ফযীলত ৭৬ 
আল্লাহর পবিত্র নামসমূহের ফযীলত ৩১ এর ফযীলত ৭৭
আল্লাহর জালালী নাম সমূহের ফযীলত ৩২  এর ফযীলত ৭৮
আল্লাহর জামালী নাম সমূহের ফযীলত ৪২ এর ফযীলত ৭৮
আল্লাহর মিশ্র নাম সমূহের ফযীলত ৫২ এর ফযীলত  ৭৯
বর্ণানুক্রমিক আল্লাহর নাম ৫৩ 
বিভিন্ন আয়াতের আমল ও ফযীলত ৬০ এর ফযীলত ৭৯ 
সূরা বাকারার প্রথম চার আয়াতের ফযীলত ৬০ এর ফযীলত ৮০
সূরা ইমরানের দুটি আয়াতের ফযীলত ৬০ এর ফযীলত ৮০ 
সূরা ইমরানের দুটি আয়াত ৬০
এর ফযীলত সূরা নূহের তিনটি আয়াতের ফযীলত ৬১ এর ফযীলত ৮০
সূরা নূহের তিনটি আয়াত আয়াতুল কুরসী এর ফযীলত ৬১
আরবী হরফসমূহের ফযীলত ৮৩
আয়াতুল কুরসী ৬২ হরফের বৈশিষ্ট্য ও ফযীলত ৮৩
সূরা তাওবার শেষ দু’আয়াতের ফযীলত  ৬৩
ফযীলত পূর্ন বিভিন্ন দরূদ শরীফ ৯১
সূরা তাওবার শেষ দু'আয়াত ৬৩
দরূদ শরীফের ফযীলত ৯১
সূরা হাশরের শেষ তিন আয়াতের ফযীলত ৬৪
দরূদ শরীফ আমলের আশ্চর্য ঘটনা সূরা হাশরের শেষ তিন আয়াত ৬৪
দরূদ শরীফ আমলের আশ্চর্য ঘটনা ৯৩
আয়াতে শিক্ষার ফযীলত ৬৫
দরূদ শরীফ আমলের আশ্চর্য ঘটনা 
৯৩
আয়াতে শিফা৬৫
দরূদে মাহী ১০০ হেজবুল-বাহুর এর মূল দোয়া ১৪৬
গুনাহ মাফির দরূদ ১০১ সপ্ত হাইকেলের ফযীলত ১৫৩

দরূদে শিফা ১০১ প্রথম হাইকেল ১৫৩

দরূদে জিয়ারত ১০২ দ্বিতীয় হাইকেল ১৫৩

দরূদে খায়ের ১০২ তৃতীয় হাইকেল ১৫৪ 

দরূদে তুনাজ্জিনা ০১২ চতুর্থ হাইকেল ১৫৫

দরূদে নারিয়া ১০৩ পঞ্চম হাইকেল ১৫৬
 
দরুদে হাজারী ১০৪ ষষ্ঠ হাইকেল ১৫৭ 

দরূদে ফতুহাত ১০৫ সপ্তম হাইকেল ১৫৭ 

নবী করীম (সঃ) কে স্বপ্নে দেখার দরূদ ১০৫ সাত দিনের বিভিন্ন আমল ১৫৮
 
দরূদে মোবারক ১০৬ শনিবার দিনের আমল ১৫৮

দরূদে লাখী ১০৭ রবিবার দিনের আমল ১৫৮

হাউজে কাওছার নসীবের দরূদ ১১০ সোমবার দিনের আমল ১৫৯
 
দরূদ সাআদাত ১১০ মঙ্গলবার দিনের আমল ১৬১ 

জীবনে সুখ-শান্তিতে থাকার দরুদ ১১০ বুধবার দিনের আমল ১৬২

সদাসর্বদা পড়ার দরূদ ১১১ বৃহস্পতিবার দিনের আমল ১৬৩
দরূদে ছাইফুল্লাহ ১১১ শুক্রবার দিনের আমল ১৬৩
 
কয়েকটি বিশিষ্ট দরূদ ১১১ সাত দিনের মুয়াক্কিলগণের বর্ণনা ১৬৩

নবী করীম (সঃ) এর নামসমূহের ফযীলত ১১২ চার দিকের মুয়ালিগণের নাম
১৬৪ 

নবী করীম (সঃ) এর নামসমূহ ১১২ বন্ধুত্ব লাভের তদবীর ১৬৪

পরশমনি দোয়া ও আশ্চর্য আমল ১১৪ কুরআনের বিভিন্ন আমল ও তদবীর ১৬৫

দোয়ায়ে আহাদনামার ফযীলত ১২৭ স্বপ্নে রাসূলুল্লাহ (সঃ) কে দেখার আমল ১৬৫ 

দোয়ায়ে আহাদ নামা ১২৭ রাসূল (সঃ) কে স্বপ্নে যিয়ারতের আমল ১৬৫ 

দোয়ায়ে হাবীবী ১২৮
রাসূল (সঃ) কে স্বপ্নে যিয়ারতের আমল ১৬৫

দোয়ায়ে হাবীবীর ফযীলত ১২৮
রাসূল (সঃ) কে স্বপ্নে যিয়ারতের আমল ১৬৭

দোয়ায়ে কাদাহ এর ফযীলত ১৩১ রাসূল (সঃ) কে স্বপ্নে যিয়ারতের আমল ১৬৭ 

দোয়ায়ে কাদাহ ১৩২ রাসূল (সঃ) কে স্বপ্নে যিয়ারতের আমল ১৬৭

দোয়া গাঞ্জল আরশের ফযীলত ১৩৮ নবী করীম (সঃ) কে স্বপ্নে দেখার আমল ১৬৭ 
দোয়া গাঞ্জল আরশের সনদ ১৩৮ নবী করীম (সঃ) এর সাফায়াত লাভ ১৬৭ 

দোয়া গাঞ্জল আরশের ফায়দা ১৩৮ নামায কবুল হওয়ার আমল ১৬৮
 
দোয়া গাঞ্জল আরশ ১৩৯ অন্তরে নূর সৃষ্টি হওয়ার আমল
১৬৮

হিজবুল-বাহর ১৪৫ আয়াতে সালামের ফযীলত ১৬৮

হেজবুল বাহুর এর অজীফার যাকাত ১৪৬ ইসমে আযম ১৬৯


সূরা আহ্ যিলযাল ৩৪৪ সূরা আত্-তীন ৩৫৬
সূরা আল আদিয়াত ৩৪৫ সূরা আলাক ৩৫৭
সূরা আল ক্বারিয়াহ ৩৪৫ সূরা আল্ কদর ৩৫৯
সূরা আত্ তাকাছুর ৩৪৫ সূরা আল্ বাইয়্যেনাহ ৩৬০
সূরা আল হুমাযাহ ৩৪৫ সূরা আহ্ যিলযাল ৩৬২
সূরা আল ফীল ৩৪৬ সূরা আল আদিয়াত ৩৬৩ 
সূরা আল্ কুরাইশ ৩৪৬ সূরা আল ক্বারিয়াহ ৩৬৫
সূরা আল মাউন ৩৪৬ সূরা আত্ তাকাছুর ৩৬৫
সূরা আল-কাউছার ৩৪৬ সূরা আল-আসর ৩৬৭
সূরা আল কাফিরূন ৩৭৩
সূরা আল্ হুমাযাহ ৩৪৫ সূরা আল আসর ৩৬৭
সূরা আল ফীল ৩৪৬ সূরা আল্-ইখলাস্ ৩৪৬
সূরা আল কুরাইশ ৩৭০
সূরা আন্-নাস ৩৪৮ সূরা আল মাউন ৩৭০
সূরা আল-ফাতিহা ৩৪৮ সূরা আল-কাউছার ৩৭২ 
নামাযের প্রয়োজনীয় দোয়া কালাম ৩৪৯ সূরা আল কাফিরূন ৩৭৩
জায়নামাযের দোয়া ৩৪৯ সূরা আন্ নাসর ৩৭৪
তাকবীর ৩৪৯ সূরা লাহাব ৩৭৫
সানা ৩৪৯ সূরা আল্-ইখলাস্ ৩৭৬
তায়াউজ ৩৫০  সূরা আল-ফালাক্ব ৩৭৮
তাসমিয়াহু ৩৫০ সূরা আন-নাস ৩৭৯ 
রুকু তাসবীহ ৩৫০ রাসূলুল্লাহ (সঃ) এর চল্লিশ হাদীস ৩৮১ 
রুকু তাসমী ৩৫০ বিভিন্ন খতম সমূহ ৩৯১ 
রুকু তাহমীদ ৩৫০ খতমে তাহলীল ৩৯১
সিজদার তাসবীহ ৩৫০ খতমে তাছমিয়া ৩৯১ 
তাশাহুদ ৩৫০ খতমে খাজেগান ৩৯১
তাশাহুদের পরবর্তী দরূদ শরীফ খতম পড়ার নিয়ম ৩৯১
দোয়ায়ে মাসুরা ৩৫১ তাশাহুদের পরবর্তী দরূদ শরীফ ৩৫০
দোয়ায়ে কুনুত ৩৫১ খতমে ইউনুছ ৩৯৪ 
নামাযের শেষের সালাম ৩৫১ খতমে জালালী ৩৯৫
আল কুরআনের সূরা, শানে নুযুল ও ফযীলত ৩৫২ খতমে কাদেরীয়া ৩৯৫
সূরা আল্-ফাতিহা ৩৫২ তাশাহুদের পরবর্তী দরূদ শরীফ ৩৯৫
সূরা ফাতিহার শানে নুযূল ৩৫২ খতমে চিশতিয়া ৩৯৮
সূরা আল-ফাতিহা এর আমল ও ফযীলত ৩৫৩ খতম পড়ার নিয়ম ৩৯৮
সূরা আদ্-দুহা ৩৫৪ তাশাহুদের পরবর্তী দরূদ শরীফ ৩৯৮
সূরা আল্ ইনশিরাহ ৩৫৫ তাশাহুদের পরবর্তী দরূদ শরীফ ৪০০",কোরআন হাদিসের আলোকে দোয়া দরূদ ও আমলিয়াত, , ,মাওলানা মুহাম্মদ আব্দুর রহমান খন্দকার,Siddikia Publications,9848912312,"2nd,2012",400,Bangladesh,Bangla & Arabic
পর্দা কি ও কেন, حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),TK. 120,TK. 84,https://rokomari.com//book/41896/porda-ki-o-keno--quran-hadiser-aloke-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9f151daf1_41896.jpg,"",পর্দা কি ও কেন,حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),মুফতী মুহাম্মদ শফিউল আলম, ,সিদ্দিকীয়া পাবলিকেশন্স,9848910808,"Reprint,2018",112,বাংলাদেশ,বাংলা
মাক্‌সুদুল মু’মেনীন বা বেহেশ্‌তের পুঞ্জী (প্রথম থেকে সপ্তম খণ্ড),মাওলানা শামসুল ইসলাম,TK. 300,TK. 210,https://rokomari.com//book/42423/maksudul-mumenin-ba-beheshter-punji--1st-theke-7th-khondo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cea92cfda_42423.jpg,"",মাক্‌সুদুল মু’মেনীন বা বেহেশ্‌তের পুঞ্জী (প্রথম থেকে সপ্তম খণ্ড),মাওলানা শামসুল ইসলাম, , ,Siddikia Publications,9848910123,"Reprint,2012",400,Bangladesh,Bangla & Arabic
মরণের আগে ও পরে,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,TK. 350,TK. 245,https://rokomari.com//book/67557/moroner-age-o-pore,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/679ecb7db_67557.jpg,"",মরণের আগে ও পরে,হুজ্জাতুল ইসলাম ইমাম গাযযালী রহ.,মাওলানা মুহাম্মদ সিরাজুল ইসলাম, ,সিদ্দিকীয়া পাবলিকেশন্স, ,"Reprint,2016",448,বাংলাদেশ,বাংলা
স্বপ্নের তাবীর খাবনামা ও ফালনামাহসহ,আল্লামা মুহাম্মদ ইবনে সীরীন (রহ.),TK. 300,TK. 210,https://rokomari.com//book/42412/swopner-tabir-khabnama-o-falnamahsoho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a52599d52_42412.jpg,"",স্বপ্নের তাবীর খাবনামা ও ফালনামাহসহ,আল্লামা মুহাম্মদ ইবনে সীরীন (রহ.),মাওলানা মুহাম্মদ সিরাজুল ফরিদ, ,সিদ্দিকীয়া পাবলিকেশন্স,9848912746,"Reprint,2014",400,বাংলাদেশ,বাংলা
গুলিস্তাঁ ও বোস্তাঁ‘র বঙ্গানুবাদ,আল্লামা শেখ সাদী (রহঃ),TK. 300,TK. 210,https://rokomari.com//book/42569/gulista-o-bostar-bonganubad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140824_42569.gif,"",গুলিস্তাঁ ও বোস্তাঁ‘র বঙ্গানুবাদ,আল্লামা শেখ সাদী (রহঃ), , ,সিদ্দিকীয়া পাবলিকেশন্স,9848912274,"Reprint,2015",288,বাংলাদেশ,বাংলা
বেহেশতী জেওর (১-১১ খণ্ড একত্রে), حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),TK. 750,TK. 525,https://rokomari.com//book/41885/baheshti-jeor--1-11-part-ekotre-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf46ab5c1_41885.jpg,"",বেহেশতী জেওর (১-১১ খণ্ড একত্রে),حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),মাওলানা আবু তাহের,মুফতী মাওলানা আবুল হাসান শরীয়তপুরী,সিদ্দিকীয়া পাবলিকেশন্স,9848910433,"Revised Edition,2016",562,বাংলাদেশ,বাংলা
ইসলামী আধুনিক সুন্দর নাম ও শিশুর পরিচর্যা,মোহাম্মদ শাহজাহান খান,TK. 300,TK. 210,https://rokomari.com//book/42520/islami-adhunik-sundor-nam-o-shishur-poricharja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/55af6208e_42520.jpg,"",ইসলামী আধুনিক সুন্দর নাম ও শিশুর পরিচর্যা,"মোহাম্মদ শাহজাহান খান,মাওলানা আবু তাহের", ,মোহাম্মদ শাহজাহান খান,সিদ্দিকীয়া পাবলিকেশন্স,9848913661,"Reprint,2013",446,বাংলাদেশ,বাংলা
বেহেশতের গ্যারান্টি (ইমাম গাযযালী (রহ) এর চিঠি),মাওলানা ক্বারী মোহাম্মদ হাসান,TK. 120,TK. 84,https://rokomari.com//book/42430/beheshter-guarantee--imam-gazzali--ra--er-chithi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0b086abb8_42430.jpg,"",বেহেশতের গ্যারান্টি (ইমাম গাযযালী (রহ) এর চিঠি),মাওলানা ক্বারী মোহাম্মদ হাসান, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848911490,"1st Published,2007",112,বাংলাদেশ,বাংলা
সহীহ্ বোখারী শরীফ (১-১০ খণ্ড একত্রে) (বড় সাইজ),ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র),"TK. 1,000",TK. 700,https://rokomari.com//book/116103/sohih-bokhari-sharif--1-10-part-ekotre---boro-size-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/31d26b2b9_116103.jpg,"",সহীহ্ বোখারী শরীফ (১-১০ খণ্ড একত্রে) (বড় সাইজ),ইমাম মুহাম্মদ ইবনে ইসমাইল বোখারী (র),হযরত মাওলানা ওবায়দুল হক (রঃ),"মোহাম্মদ শাহজাহান খান,মাওলানা মোহাম্মদ আবদুল আজিজ,মাওলানা মোহাম্মদ মঈনুল হাসান,মাওলানা আবু তাহের,মাওলানা আকমাল হোসেন খান",Siddikia Publications,9848910883,"Revised Edition,2016",1336,Bangladesh,Bangla & Arabic
ধারাবাহিক পরিপূর্ণ নামাজ শিক্ষা,মাওলানা ইলিয়াছ আলম,TK. 320,TK. 224,https://rokomari.com//book/42554/dharabahik-poripurno-namaz-shikkha--with-colour-picture-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af694879c_42554.jpg,"",ধারাবাহিক পরিপূর্ণ নামাজ শিক্ষা,মাওলানা ইলিয়াছ আলম, ,মোহাম্মদ শাহজাহান খান,সিদ্দিকীয়া পাবলিকেশন্স,9848912266,"1st Published,2008",464,বাংলাদেশ,বাংলা
তাযকিরাতুল আওলিয়া (১-৩ খণ্ড একত্রে),মাওলানা ফরিদ উদ্দিন আত্তার,TK. 450,TK. 315,https://rokomari.com//book/42454/tazkiratul-awoliya--1-3-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0709_42454.GIF,"",তাযকিরাতুল আওলিয়া (১-৩ খণ্ড একত্রে),মাওলানা ফরিদ উদ্দিন আত্তার,আল-হাজ্ব তোফাজ্জল হোসেন খান, ,সিদ্দিকীয়া পাবলিকেশন্স,9848910557,"3rd Print,2013",520,বাংলাদেশ,বাংলা
দৈনন্দিন জীবনে পুরুষ ও মহিলাদের জরুরী মাসআলা-মাসায়েল এবং প্রশ্ন ও উত্তর,মোহাম্মদ শাহজাহান খান,TK. 350,TK. 245,https://rokomari.com//book/41889/doynondin-jibone-purus-o-mohelader-joruri-masala-masayel-abong-prosno-o-uttor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_41889.GIF,"ভূমিকা
সমস্ত প্রশংসা মহান আল্লাহ পাকের। দরুদ ও সালাম বিশ্বনবী হযরত মুহাম্মদ (স), তাঁর সাহাবীবৃন্দ ও পরিবার পরিজনদের প্রতি।

প্রত্যেক মুসলমান ইসলামী আইনের গণ্ডির মধ্যে সীমাবদ্ধ ইসলামী আইনের বাহিরে কোন মুসলমান অবস্থান করতে পারেনা। কাজেই প্রত্যেক মুসলমানের ইসলামী আইন তথা শরীয়তের বিধিবিধান সম্পর্কে অবগত হওয়া একান্ত প্রয়োজন। সে বিষয়ের প্রতি দৃষ্টি রেখে আমরা মাসআলা মাসায়েল নামক একখানা গ্রন্থ রচনার প্রয়াস পাই। এ গ্রন্থে মুসলমান নারী-পুরুষের প্রয়োজনীয় এবং জরুরী মাসআলা মাসায়েল ও প্রশ্নোত্তর সংযোজন করা হয়েছে। সাধারণ মানুষের সুবিধার্থে আমাদের এ প্রয়াস। আমরা আশা করি, এ গ্রন্থখানার মাধ্যমে প্রত্যেক মুসলমান কমবেশী উপকৃত হবেন।

এ গ্রন্থখানা রচনা করতে দেশী-বিদেশী অনেক মনীষীর রচিত গ্রন্থের সহায়তা নেয়া হয়েছে। এর মধ্যে বিশেষ করে আশরাফ আলী থানভী (র.) এর বেহেশতী জেওর গ্রন্থখানা অন্যতম। যাদের গ্রন্থের সহায়তা নেয়া হয়েছে, তাদের কাছে আমরা ঋণী থেকে গেলাম।

ভুলত্রুটি মানুষের স্বভাবজাত ধর্ম। কাজেই এ গ্রন্থখানা রচনা করতে ভুল ত্রুটি হওয়া অস্বাভাবিক কিছু নয়। শুধী পাঠক সমাজের কাছে আমাদের অনুরোধ, যদি কোন ভুলত্রুটি দৃষ্টিগোচর হয়, তবে আমাদেরকে অবগত করালে পরবর্তীতে সংশোধন করার ব্যবস্থা করা হবে। আল্লাহ হাফেজ।

সম্পাদক
মুহাম্মদ শাহজাহান খান",দৈনন্দিন জীবনে পুরুষ ও মহিলাদের জরুরী মাসআলা-মাসায়েল এবং প্রশ্ন ও উত্তর,"মোহাম্মদ শাহজাহান খান,حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.)", ,"মোহাম্মদ শাহজাহান খান,মাওলানা ফজলুল করীম আনওয়ারী",সিদ্দিকীয়া পাবলিকেশন্স,984891059X,"2nd Published,2016",496,বাংলাদেশ,বাংলা
কোরআন-হাদীসের আলোকে রূহ কি?,আল্লামা হাফিয ইবণে কাইয়্যিম (র),TK. 220,TK. 154,https://rokomari.com//book/42492/quran-hadiser-aloke-ruh-ki-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5464f8296_42492.jpg,"",কোরআন-হাদীসের আলোকে রূহ কি?,আল্লামা হাফিয ইবণে কাইয়্যিম (র), , ,সিদ্দিকীয়া পাবলিকেশন্স,9848910417,"Reprint,2015",272,বাংলাদেশ,বাংলা
কিপটে বুড়ি,এনায়েত রসুল,TK. 80,TK. 56,https://rokomari.com//book/10678/kipte-buri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b5811d79ae4_10678.gif,"",কিপটে বুড়ি,এনায়েত রসুল, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848913645,"1st Published,2012",63,বাংলাদেশ,বাংলা
লেখাপড়ার নিয়ম-পদ্ধতি ও আদব-আখলাক শিক্ষা,মুফতী হারুন রসুলাবাদী,TK. 120,TK. 84,https://rokomari.com//book/42514/lekhaporar-niyom-poddhoti-o-adhob-akhlak-shikka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d14b9a1b_42514.jpg,"",লেখাপড়ার নিয়ম-পদ্ধতি ও আদব-আখলাক শিক্ষা,মুফতী হারুন রসুলাবাদী, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848910158,"Reprint,2014",144,বাংলাদেশ,বাংলা
হালুম,শাকিল ফারুক,TK. 60,TK. 54,https://rokomari.com//book/41826/halum,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a8782403a_41826.jpg,"",হালুম,শাকিল ফারুক, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848912061,"1st Published,2008",48,বাংলাদেশ,বাংলা
পাতাবনে ঝিকিমিকি,আলী ইমাম,TK. 80,TK. 72,https://rokomari.com//book/95519/patabone-jhikimiki,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d8a4bcf20_95519.jpg,"",পাতাবনে ঝিকিমিকি,আলী ইমাম, , ,সিদ্দিকীয়া পাবলিকেশন্স,9848914668,"1st Published,2015",48,বাংলাদেশ,বাংলা
