Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মোল্লা নাসিরুদ্দিনের গল্প - ১ম খণ্ড,মোল্লা নাসিরুদ্দিন,TK. 270,"",https://rokomari.com//book/141492/mollah-nasiruddinar-golpo---1st-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bd1008aec_141492.jpg,"",মোল্লা নাসিরুদ্দিনের গল্প - ১ম খণ্ড,মোল্লা নাসিরুদ্দিন, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789384346607,"1st Published,2015",48,ভারত,বাংলা
ক্ষুদিরাম,বারিদবরণ ঘোষ,TK. 270,"",https://rokomari.com//book/140985/kkhudiram,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4c60668a594_140985.jpg,"""ক্ষুদিরাম"" বইয়ের ফ্ল্যাপের লেখা:

ব্রিটিশ সাম্রাজ্যবাদীদের হাত থেকে স্বদেশকে উদ্ধার করে স্বাধীনতা অর্জনের সূচনাপর্বে যাঁরা আত্মােৎসর্গ করেছিলেন, তাদের মধ্যে অগ্রগণ্য ক্ষুদিরাম বসু। বঙ্গভঙ্গ-বিরােধী আন্দোলন সবেমাত্র সংগঠিত হয়েছে, সহিংস বা অহিংস আন্দোলনের রূপরেখা তখনও অঙ্কিত হয়নি, কিন্তু দেশকে মুক্ত করার একটা স্বপ্ন তরুণ বাঙালিরা দেখছিলেন। এ কাজে জীবন তাদের কাছে পায়ের ভৃত্য হয়েছিল, মৃত্যু হয়েছিল বরণীয়। সংশপ্তকের প্রতিজ্ঞা নিয়ে এঁরা গােপনে গােপনে দেশমন্ত্রে উদ্বুদ্ধ হয়েছিলেন। সেই মন্ত্রই ক্ষুদিরাম-প্রফুল্ল চাকীকানাইলালদের জাগিয়ে দিয়েছিল। সেই জাগরণী মন্ত্রে দীক্ষিত ক্ষুদিরাম সঙ্গী প্রফুল্ল চাকীকে নিয়ে দূর।
মজঃফরপুরে ব্রিটিশ শাসনযন্ত্রের এক অপরাধীকে হত্যা করার জন্য ছদ্মনামে গিয়েছিলেন। শৈশববাচিত একটা ভুলের শিকার হয়ে তারা লক্ষ্যভ্রষ্ট। পরিণামে প্রফুল্লের আত্মহত্যা আর ক্ষুদিরামের ফাঁসি- যে ফাঁসির যন্ত্রণা দেশকে আবার উদ্দীপনাময় করে তুলেছিল, বিকল হতে বসেছিল সমগ্র ব্রিটিশ নিপীড়নযন্ত্র। এই সেই জাগরণী মন্ত্র, নিপীড়ন ও আত্মােৎসর্গের এক মহান কাহিনি।",ক্ষুদিরাম,বারিদবরণ ঘোষ, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789380034850,"2nd Printed,2017",107,ভারত,বাংলা
মুহূর্তকথা – সুনীল গঙ্গোপাধ্যায়,সুনীল গঙ্গোপাধ্যায় (নীললোহিত),TK. 630,"",https://rokomari.com//book/140948/muhurtakatha---sunil-gangyopadhyay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9be1d7a96_140948.jpg,"",মুহূর্তকথা – সুনীল গঙ্গোপাধ্যায়,সুনীল গঙ্গোপাধ্যায় (নীললোহিত), , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789380034591,"4th Reprinted,2018",534,ভারত,বাংলা
মাঝি বাইয়া যাও রে,আশিসতরু মুখোপাধ্যায়,TK. 540,"",https://rokomari.com//book/140975/majhi-baia-jao-re,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a6988eb94ca4_140975.jpg,"""মাঝি বাইয়া যাও রে"" বইয়ের ফ্ল্যাপের লেখা:
অমর পাল লােকগানের সেই বিরল শিল্পী যাঁর কণ্ঠে গান আর শুধু গান থাকে না, হয়ে ওঠে দর্শন। ভাটিয়ালি গানের প্রবাদপ্রতিম এই শিল্পীর জীবনও তাঁর কণ্ঠ-নিঃসৃত সংগীতের মূর্ঘনার মতাে ব্যঞ্জনাময়। এ গ্রন্থেই প্রথম ধরা রইল তার কিংবদন্তী হয়ে ওঠার দীর্ঘ ঘটনাবহুল সংগ্রামময় কাহিনি। সেই আখ্যান তার গানের মতােই সরল, মােহময় ও জাদুকরি। কিন্তু কেন এ মুহূর্তে অমর পালই দুই বাংলায় লােকগানের সবচেয়ে সম্মানিত স্বর? তার কণ্ঠে আছে সেই হিরন্ময় ঐশ্বর্য, যা আমাদের রােমাঞ্চিত করে। অনির্বচনীয় আবিষ্কারের পুলকে। সে আবিষ্কার শাশ্বত এক জীবনবােধকে খুঁজে পাওয়ার আনন্দে প্রােজ্জ্বল। প্রান্তিক মানুষের সহজিয়া জীবনে যে জাদু লুকিয়ে আছে,। তার অপরূপ সৌন্দর্যকে আমরা চিনতে পেরেছি তারই সৌজন্যে। ভাঙা নাওয়ের যাত্রী হয়ে জীবনের অকূল দরিয়ায় এই যে আমাদের অনির্দেশ ভেসে চলা, তার সুর তাে বাঁধা আছে। ওই সুরসাধকেরই মরমিয়া কণ্ঠস্বরে।",মাঝি বাইয়া যাও রে,"আশিসতরু মুখোপাধ্যায়,অমর পাল", , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),97899383413171,"1st Edition,2013",264,ভারত,বাংলা
মুহূর্তকথা,শীর্ষেন্দু মুখোপাধ্যায়,TK. 810,"",https://rokomari.com//book/140951/muhurtokotha--shirshendu-mukhupadhyaayer-nirbachito-goposongroho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/283950868754_140951.jpg,"",মুহূর্তকথা,শীর্ষেন্দু মুখোপাধ্যায়, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789380034584,"4th Printed,2018",564,ভারত,বাংলা
মুহূর্তকথা,বিভূতিভূষণ বন্দ্যোপাধ্যায়,TK. 720,"",https://rokomari.com//book/140957/muhurtokotha--bivhutivushon-bondopadyayer-nirbachito-golposongroho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62d871de1ee4_140957.jpg,"",মুহূর্তকথা,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789381140772,"Reprint,2018",592,ভারত,বাংলা
ঠানদিদির কবিরাজি,অমিত ভট্টাচার্য,TK. 270,"",https://rokomari.com//book/140723/thandidir-kobiraji,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/376abc891_140723.jpg,"""ঠানদিদির কবিরাজি"" বইয়ের সংক্ষিপ্ত লেখা:

শরীরকে সুস্থ রাখতে হলে অনুশাসনকে মান্যতা দিতেই হবে। স্বাস্থ্যবিধি অনুসৃত না হলে একটি প্রাণ অকালে ঝরে যায়। পারিবারিক জীবন বিঘ্নিত হয়। ধরাে তক্তা মারাে পেরেক’ সহবাসবিধি নয়।
সন্তানােৎপত্তিতে অনন্যচিত্ত সহবাস, কামােদ্দীপক অনুলেপনাদির ব্যবহার।
গুরুত্ব পেয়েছে মায়েদের স্বাস্থ্যসচেতন করতে যে সংলাপের
আশ্রয় নেওয়া হয়েছে তা প্রশংসনীয়। অতীতে কোথায় ছিলাম জানতে পারলে বর্তমানের অগ্রগামিতার মূল্যায়ন সহজ হয়। ঠানদিদিশরীর সম্বন্ধে মানুষকে আরও বেশি জাগ্রত করেছেন। কবিরাজ শ্রীনীলমাধব সেনগুপ্ত প্রণীত সরল গৃহচিকিৎসার এই দুর্লভ বইটিকে বিস্মৃতির অতল থেকে উদ্ধার করেছেন বিশিষ্ট অধ্যাপক তথা আয়ুর্বেদ গবেষক অমিত ভট্টাচার্য।

এ বইতে আমরা পাই
 • দীর্ঘ উপবাস ও অতিরিক্ত আহার সংযম (ডায়েটিং)।
দুই-ই ক্ষতিকারক 
• দ্বিতীয় সন্তান গর্ভে এলে প্রথম সন্তানকে দুধ ছাড়ানাের উপায় 
• শিশুর চিকিৎসা বহুদর্শী ডাক্তার দিয়ে করানাে উচিত 
• শিশু দাঁত ওঠার সময় ভােগে কেন? 
• নবজাতককে পরিচারিকার কোলেই রেখে দেওয়া অসংগত 
• নিয়মিত ব্যায়াম কেন জরুরি 
• টোটকা ও ওষুধের পার্থক্য বিচার 
• অনিদ্রা দূর করার উপায় 
• কীভাবে মুখের অরুচি নষ্ট হয়
• কীভাবে চুলের গােড়া শক্ত হয় 
• শরীরে লাবণ্য বৃদ্ধির উপায়
• মাছ, মাংস, সবজি, মশলার গুণাগুণ",ঠানদিদির কবিরাজি, , ,অমিত ভট্টাচার্য,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789383413508,"1st Published,2014",176,ভারত,বাংলা
মুহূর্তকথা ,শঙ্করলাল ভট্টাচার্য,TK. 630,"",https://rokomari.com//book/140952/muhurtakatha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/25eddba50274_140952.jpg,"",মুহূর্তকথা,শঙ্করলাল ভট্টাচার্য, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত), , , ,ভারত,বাংলা
সামবেদীয় সংস্কারকর্ম,প্রবীরকুমার চট্টোপাধ্যায়,TK. 270,"",https://rokomari.com//book/140812/samvedio-sanskarkarma,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8513e9dd5_140812.jpg,"বিধিপূর্বক সামবেদোক্ত সংস্কারকর্ম পালন এখন এক দুঃসাধ্য কার্যে পরিণত হয়েছে। সংস্কারকর্ম পালনের সময় মন্ত্রোচ্চারণ আবশ্যিক। অথচ সংস্কৃতজ্ঞানের অভাবে উচ্চারিত। মন্ত্রের অর্থ অধিকাংশ ক্ষেত্রেই রয়ে যায় অবিদিত। অর্থবােধহীন মন্ত্রোচ্চারণের ফলে শূদ্রত্ব থেকে। দ্বিজত্বে উত্তরণে অপারগ হই আমরা। এই প্রথম যাবতীয় মন্ত্রের বঙ্গানুবাদসহ প্রকাশিত হল সামবেদীয় সংস্কারকর্ম। ব্রহ্মজ্ঞানান্বেষী পূজক, পাঠক তথা  ধর্মশাস্ত্রের অনুসন্ধিৎসু গবেষক—সকলকেই এই গ্রন্থ এক নতুন পথের দিশা দেবে।",সামবেদীয় সংস্কারকর্ম,প্রবীরকুমার চট্টোপাধ্যায়, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789381140031,"Reprint,2019",186,ভারত,বাংলা
আমার কাল আমার ভুবন-১ম খণ্ড,পূর্ণেন্দুকান্তি দাশ,TK. 225,"",https://rokomari.com//book/140898/amar-kaal-amar-bhubon-1st-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/76b01038c9e4_140898.jpg,"",আমার কাল আমার ভুবন-১ম খণ্ড,পূর্ণেন্দুকান্তি দাশ, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789384346423,"1st Published,2014",96,ভারত,বাংলা
অন্য প্রেম,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),TK. 531,"",https://rokomari.com//book/140888/onyo-prem--chirayoto-premer-golposongroho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af06b69be_140888.jpg,"",অন্য প্রেম,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত), ,উজ্জলকুমার মজুমদার,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789385555916,"1st Edition,2016",385,ভারত,বাংলা
বন্দে মাতরম্ প্রেরণা ও বিতর্ক,অশোককুমার রায়,TK. 360,"",https://rokomari.com//book/140857/bande-mataram-prerana-o-bitarka,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f2935ff69_140857.jpg,"",বন্দে মাতরম্ প্রেরণা ও বিতর্ক, , ,অশোককুমার রায়,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789380034997,"1st Reprinted,2017",312,ভারত,বাংলা
শ্রীমেঘনাদবধকাব্য-র গল্প,শুভময় মণ্ডল,TK. 225,"",https://rokomari.com//book/140757/srimeghnadbadhkavyar-galpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/42bd8b7dd444_140757.jpg,"",শ্রীমেঘনাদবধকাব্য-র গল্প,শুভময় মণ্ডল, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789382300489,"1st Published,2013",104,ভারত,বাংলা
মুহূর্তকথা ,মহাশ্বেতা দেবী,TK. 630,"",https://rokomari.com//book/140954/muhurtakatha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/74ad0cb34654_140954.jpg,"",মুহূর্তকথা,মহাশ্বেতা দেবী, , ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত), , , ,ভারত,বাংলা
সাময়িকপত্রের আলোকে প্রথম মহাযুদ্ধ,বারিদবরণ ঘোষ,TK. 711,"",https://rokomari.com//book/140813/samoyikpatrer-aloke-prothom-mohajuddho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e8795763254_140813.jpg,"""সাময়িকপত্রের আলোকে প্রথম মহাযুদ্ধ"" বইয়ের পিছনের কভারের লেখা:
প্রথম মহাযুদ্ধে বাঙালিরা কি শামিল হয়েছিলেন? এই প্রশ্নের উত্তর খুঁজতে গিয়ে সমসাময়িক বাংলা সাময়িক পত্রের পাতায় সন্ধান মিলেছে যে বিপুল তথ্য-আকরের, তারই এক নির্বাচিত সংগ্রহ সংকলিত হল এই গ্রন্থে। একদিকে এই সংকলন খোঁজ দেয় প্রথম মহাযুদ্ধের কারণে উদ্ভূত আন্তর্জাতিক পরিস্থিতির দেশীয় মূল্যায়নের। অন্যদিকে তা আঘাত করে বাঙালি ভীরু জাতি’ এই ভ্রান্ত ধারণার মূলে। আমরা জানতে পারি বাঙালিরা শুধু দলে দলে এই মহাসমরে যােগদানই করেননি, তাদের রক্তে রাঙা হয়ে উঠেছিল বহু বিদেশি যুদ্ধপ্রান্তর।",সাময়িকপত্রের আলোকে প্রথম মহাযুদ্ধ, , ,বারিদবরণ ঘোষ,পারুল প্রকাশনী প্রাইভেট লিমিটেড (ভারত),9789385555091,"1st Edition,2015",336,ভারত,বাংলা
