Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নীল দর্পণ : বাঙালি জাতীয়তাবাদের সূত্র-অনুসন্ধান,মুহাম্মাদ আব্দুল মান্নান হাওলাদার,TK. 200,TK. 150,https://rokomari.com//book/194351/nil-darpan---bangali-jatiyatabader-sutra-onusandhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2f2d771de_194351.jpg,"""নীল দর্পণ : বাঙালি জাতীয়তাবাদের সূত্র অনুসন্ধান"" বইয়ের ফ্ল্যাপের লেখা:

শিল্প সময় ও সত্যকে নিরপেক্ষভাবে ধারণ করতে পারে। শিল্পে সত্যের সমান্তরালে নিহিত থাকে সময়ের নির্মোহ সব উপাদান। নীল দর্পণ বাংলা নাটকের অনন্য সংযোজন, এ নাটকে প্রতিচিত্রিত ইতিহাসের উপাদান ও এর সত্যাসত্যের আলোকে বিশ্লেষিত বাঙালি জাতীয়তাবাদের উন্মেষ ও এর স্বরূপ অন্বেষণের প্রয়াস এ গবেষণা গ্রন্থে দীক্ষিত পাঠক পেতে পারেন।",নীল দর্পণ : বাঙালি জাতীয়তাবাদের সূত্র-অনুসন্ধান,মুহাম্মাদ আব্দুল মান্নান হাওলাদার, , ,নৈঋতা ক্যাফে,9789848124048,"1st Published,2020",63,বাংলাদেশ,বাংলা
নজরুল পৌরাণিক অভিধান,মাওলা প্রিন্স,TK. 450,TK. 338,https://rokomari.com//book/194380/nazrul-pworonik-ovidhan--nazrul-mythological-dictionary-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6bd47db68_194380.jpg,"",নজরুল পৌরাণিক অভিধান,মাওলা প্রিন্স, , ,নৈঋতা ক্যাফে,9789849444244,"1st Published,2020", ,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধ ও অন্যান্য গল্প,ইমরান চৌধুরী,TK. 260,TK. 182,https://rokomari.com//book/183137/muktijuddha-o-onnanya-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1f86c1506_183137.jpg,"ইমরান চৌধুরীর একটি উপন্যাস ‘পাতা’ সম্পর্কে পশ্চিমবঙ্গের প্রখ্যাত কথাসাহিত্যিক সমরেশ মজুমদার লিখেছিলেন, ‘পাতা উপন্যাসের ভাষার সারল্য, উপন্যাসটিকে সুখপাঠ্য করেছে’। সত্যিই ইমরান চৌধুরীর কথাসাহিত্য দারুণ সুখপাঠ্য। সেটি উপন্যাসের ক্ষেত্রে যেমন ঠিক, তেমনি তাঁর ছোটগল্প সম্পর্কেও। সম্প্রতি তাঁর যে গল্পগ্রন্থটি পাঠের সুযোগ হয়েছে, তার নাম ‘মুক্তিযুদ্ধ ও অন্যান্য গল্প’। এখানেও লেখকের নিজস্ব এক সাবলীল ভাষার উপস্থিতি বিদ্যমান। তবে ভাষার সারল্য বা পাঠকালীন আনন্দের জন্যই শুধু এখানকার গল্পগুলো বিশিষ্ট হয়ে ওঠেনি। গল্পগুলো অন্যান্য কারণেও বিশেষ। বিষয়বস্তুর বৈচিত্র্য ও জীবনের নানামুখী বয়ান এই গল্পগুলোকে মাত্রাগত ভিন্নতা দিয়েছে। ছোটগল্পের পরিসর কম হওয়ায় এই মাধ্যমটিতে কাহিনি ফুটিয়ে তোলার জন্য সাহিত্যিক সক্ষমতার প্রয়োজন। কাহিনির মেদ ঝরিয়ে তাকে ঝরঝরে করে তোলাও লেখকের জন্য একটা বড় চ্যালেঞ্জ এখানে। বলা বাহুল্য, ইমরান চৌধুরী সেই চ্যালেঞ্জ অনায়াসে উতরে গেছেন। গল্পগুলোর কাহিনি বিচিত্র হলেও লেখকের ভাষাভঙ্গির একরৈখিকতা চোখে পড়ার মতো। এই বৈশিষ্ট্যই মূলত গল্পগ্রন্থটিকে এক সুতোয় বেঁধে রেখেছে। কয়েকটি গল্পে শুরু থেকেই যে টানটান উত্তজনা তৈরি হয়, লেখক সেটিকে ধরে রাখেন একদম শেষ লাইন অবধি। ফলে, পাঠকও একবার পড়া শুরু করার পর সেখান থেকে মনোযোগ সরাতে পারে না।

মুক্তিযুদ্ধ নিয়ে এই বইয়ে যে গল্পটি স্থান পেয়েছে, তার নাম ‘কালোগোলাপ’। এই গল্পটির প্রতীকী ব্যঞ্জনা পাঠককে মুগ্ধ করবে। লেখক এখানে কালো গোলাপের প্রতীকে মহিমান্বিত করছেন যুদ্ধদিনের ক্ষতিগ্রস্ত নারীদের। পুরুষতান্ত্রিক পৃথিবীতে যুদ্ধের অন্যতম প্রধান শিকার নারী। এই নারী ক্ষতিগ্রস্ত হয়, আবার নারীই আশ্রয় দেয় প্রজন্মকে। নারী যেন অনেকটাই নীলকণ্ঠের মতো, যারা আত্মগত বিষের দংশনে নীল হয়ে থাকে। তাদেরই একজন এই গল্পের প্রিসিলা। উত্তম পুরুষে লেখা এ গল্পের প্রধান চরিত্রের মধ্যে আমরা মধ্যবিত্ত জীবনের সংকট উপলব্ধি করি। ক্লাসের ভালো ছেলেটি দেশের জরুরি অবস্থায়ও যুদ্ধে যেতে পারছে না। একদিকে বিদেশে উচ্চশিক্ষার লোভনীয় সুযোগ, অন্যদিকে টানছে যুদ্ধ। বাবা-মায়ের একমাত্র সন্তান হওয়ার সে একইসাথে পিতামাতা ও মাতৃভূমির টানের টানাপোড়েনের মধ্যে থাকে। তবে, দেশের জন্য কিছু করতে না পারার কষ্ট ও অপরাধবোধ কিন্তু তার আছে। সে চায়, চাওয়া প্রবল না হওয়ায় সে তার মধ্যবিত্ত মানসিকতাকে জয় করতে পারে না। মুক্তিযুদ্ধ নিয়ে আমাদের দেশে অনেক গল্প লেখা হয়েছে। তবে ‘কালোগোলাপ’ গল্পটি এসব গল্প থেকে অনেকটাই আলাদা। লেখক সম্পূর্ণ ভিন্ন একটি দৃষ্টিকোণ থেকে এ গল্পে মুক্তিযুদ্ধকে দেখানোর চেষ্টা করেছেন। একটি কালোগোলাপ হূদয়ে ধারণ করার মাধ্যমে এই গল্পের প্রধান চরিত্র যুদ্ধে যেতে না পারার গ্লানি থেকে কিছুটা হলেও মুক্ত হতে চায়। গল্পটা যে নাটকীয়তার মধ্য দিয়ে শেষ হয়, তা অসাধারণ।

‘ক্রসফায়ার’ গল্পে একটি প্রেমের গল্পের সমান্তরালে সমসাময়িক সমাজবাস্তবতাকে তুলে ধরেছেন লেখক। এই গল্পের অন্যতম শক্তিশালী অংশ হলো সাত মিনিটের একটি যৌনতার বিবরণ। এটি এতটাই কাব্যিক আর প্রতীকী যে তা পাঠকের উপলব্ধিতে দীর্ঘ রেশ রেখে যায়। আমাদের প্রাত্যহিক জীবন-বাস্তবতার ভেতরে এসব গল্প রয়ে গেছে। কেবল অনুসন্ধানী চোখই পারে সেটা তুলে আনতে। একটি ক্রসফায়ারের ঘটনার যে অভিঘাত, তার যে মর্মস্পর্শী বয়ান লেখক পেশ করেন, তা আমাদের মানবিক বোধকে নাড়া দেয়। নারী পুরুষের সম্পর্কের রসায়নকে এখানে দেখা হয়েছে আরেকটি ভিন্ন দৃষ্টিকোণ থেকে।

‘ক্লাসমেট’ গল্পটি বিশ্ববিদ্যালয় পড়ুয়া একজন নিম্নবিত্ত ছেলের জীবনের গল্প। ধনী-দরিদ্রের ব্যবধানকে লেখক দারুণ এক স্যাটায়ারের মাধ্যমে তুলে ধরেছেন। অবস্থানগত ভিন্নতার তুলনা করতে গিয়ে তিনি একটি চুলের রূপক বেছে নিয়েছেন। বিশ্ববিদ্যালয় জীবনের নানা খুঁটিনাটি বিষয় এ গল্পকে আলাদা দ্যোতনা দিয়েছে। ‘জীবাণু’ গল্পে মানব চরিত্রের অন্ধকারময় একটি দিক ফুটিয়ে তুলেছেন লেখক। এ গল্পের প্রধান চরিত্র মোখলেস জীবাণুদের কথা শুনতে পায়। তার খাওয়া-দাওয়া প্রায় বন্ধ। দীর্ঘ সময় ধরে সে মানসিক জটিলতায় ভোগে। আসলে পাপবোধ যে মানুষকে কুঁরে কুঁরে খায়, শুধু মানসিকভাবে নয়, ক্ষেত্রবিশেষে শারীরিকভাবেও, সেটাই এই গল্পে দেখিয়েছেন লেখক। খানিকটা রহস্য গল্পের আদলে লেখা এই রচনাটিতে হুট করেই যেন রহস্য উন্মোচিত হয় পড়ে। মোখলেসের মানসিক সমস্যার কারণটিই এই গল্পের ধাঁধাঁর উত্তর। তবে উত্তরে পৌঁছানোর প্রক্রিয়াটি গল্পকারের যথেষ্ট মনোযোগ পায়নি বলেই মনে হয়েছে, সম্ভবত বর্ণনাটি আরেকটু দীর্ঘ হতে পারত। ‘নাবিলার ফটোকপি’ গল্পটি সায়েন্স ফিকশন। তবে প্রকৃতির শৃঙ্খলাকে শেষ পর্যন্ত ঠিক রেখেছেন লেখক। এটি পাঠের সময় পাঠক এক দোদুল্যমানতায় থাকেন। লেখক কি শৃঙ্খলাটি ভাঙবেন, যদি না ভাঙেন তাহলে কীভাবে সেটা অটুট রাখবেন সেটা পাঠককে এক টেনশনের মধ্যে রাখে। এই টেনশনটি চলমান থাকে গল্পের একেবারে শেষ পর্যন্ত।

এ বইয়ের সর্বশেষ গল্প ‘কর্তব্যরত’। একজন চৌকস পুলিশ অফিসার বনাম দুর্ধর্ষ চোরাচালানি এবং মাদক ব্যবসায়ী। থ্রিলারের ধাঁচে লেখা এই গল্পটিও টানটান উত্তজনার মধ্যে পাঠককে নিমজ্জিত রাখে। তবে এটি যেভাবে শেষ হয়, তা পাঠকের কল্পনাতীত। মূলত এই গল্পের শেষ অংশটিই এর ভিত্তি। গল্পটির ধাঁচ দেখে মনে হয় গল্পটির ভিত্তিভূমি গল্পকারের জানা, অনুমান করা যায় গল্পের চরিত্র ও ঘটনার পারম্পর্য তাকে আলোড়িত করেছে। আইনশৃঙ্খলা বাহিনীর দায়িত্বরত মানুষদের যে গল্প আছে তা প্রায় অজানা থেকে যায় নানাকারণে, বিশেষ কারণে কখনো কখানো তা লেখকের বিষয়বস্তু হয়ে ওঠে। এ গল্পের গল্পবুনটেও হয়তো এমন একটি কারণ থেকে থাকতে পারে।

ছোট ছোট সরল বাক্যে লেখক প্রতিটি গল্পের কাহিনি বলেন। ভাষার ওপর অনর্থক জরবদস্তি না থাকায় এই গ্রন্থটির পাঠ অনায়াস ও সহজ। তবে গল্পগুলোর বিচিত্র কাহিনি ও এর টুইস্ট পাঠককে আচ্ছন্ন করে রাখে। উত্কৃষ্ট সাহিত্য পাঠের পর একধরনের তৃপ্তি পাওয়া যায়। ইমরান চৌধুরীর গল্পগ্রন্থটি পড়ার পর মনের ভেতর সেই তৃপ্তিটা থাকে বহুক্ষণ।",মুক্তিযুদ্ধ ও অন্যান্য গল্প,ইমরান চৌধুরী, , ,নৈঋতা ক্যাফে, ,"1st Published,2019", ,বাংলাদেশ,বাংলা
জীবগণিত,আনিফ রুবেদ ,TK. 300,TK. 225,https://rokomari.com//book/197520/jeebganit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90d040b82_197520.jpg,"”জীবগণিত” বইয়ের ফ্ল্যাপের লেখা:
মানুষ আজীব জীব। গণিতে যােগ আর বিয়ােগ ব্যতিত কোনাে হিসাব নাই। গুণ মানে বড়াে যােগ, ভাগ মানে বড়াে বিয়ােগ। গণিতের হিসাব সূত্রে-সংখ্যায় মিলে। কিন্তু জীবগণিতের কোনাে সূত্র নাই। এ জীবের মল-মূত্রই সার। ব্যক্তি মানুষের মনগণিতের কোনােভাবেই কোনাে সূত্রসংহতি নেই। মানুষের গণিতের কোনাে ঠিক ঠিকানা না থাকলেও মানবের ঠিকানা নির্দিষ্ট। আর শূন্যকে তাে মানুষ মানহীন করেই রেখেছে। ডানে বামে কিছু না বসালে তার কোনাে মূল্যই নাই। এতে অবশ্য শূন্য রাগ করে না, তার কিছু যায় আসে
না। শূন্যর মূল্য এগুলাের বাইরে। শূন্য তার মূল্য জানে, কিছু মানুষও হয়তাে জানে।",জীবগণিত,আনিফ রুবেদ, , ,নৈঋতা ক্যাফে,9789848124208,"1st Published,2020", ,বাংলাদেশ,বাংলা
রুবাইয়াৎ আহমেদ এর নাটক কালেকশন ,রুবাইয়াৎ আহমেদ ,TK. 740,TK. 554,https://rokomari.com//book/201455/ruabyat-ahmed-er-drama-collection,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রুবাইয়াৎ আহমেদ এর নাটক কালেকশন,রুবাইয়াৎ আহমেদ, , ,নৈঋতা ক্যাফে, ,"1st published,2020",255,বাংলাদেশ,বাংলা
ভূমি ব্যবস্থাপনার সরল পাঠ,এনামূল হক পলাশ,TK. 325,TK. 244,https://rokomari.com//book/194353/bhumi-babosthaponar-saral-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/59216c7b5_194353.jpg,"",ভূমি ব্যবস্থাপনার সরল পাঠ,এনামূল হক পলাশ, , ,নৈঋতা ক্যাফে,9789848124093,"1st Published,2020", ,বাংলাদেশ,বাংলা
চতুর্ভুজ ,লিটু আনাম,TK. 200,TK. 140,https://rokomari.com//book/199562/chaturvuz,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ad3e64457_199562.jpg,"",চতুর্ভুজ,লিটু আনাম, , ,নৈঋতা ক্যাফে,9789848124109,"1st Published,2020",62,বাংলাদেশ,বাংলা
বাংলাদেশের চিত্রকলা : বিচিত্র বিন্যাস ইতিহাসের পাঠ,রাশেদ সুখন,TK. 720,TK. 540,https://rokomari.com//book/192299/bagladesher-chitrakala---bichitra-binyas-itihaser-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0eb440553_192299.JPG,"""বাংলাদেশের চিত্রকলা : বিচিত্র বিন্যাস ইতিহাসের"" বইয়ের ফ্ল্যাপের লেখা:
বাংলাদেশের চিত্রকলার ইতিহাস সুদীর্ঘ। বিষয় ও  ঘটনা-পরম্পরায় চিত্রকলায় শিল্প সন্ধানের মাত্রার নানাবিধ অনুষঙ্গ বেশ নজরে পড়বার মতো; একাডেমিক ও নন-একাডেমিক পর্যায়ে শিল্পকলা চর্চার বিশেষ দিকগুলো নানা মাধ্যমে উঠে আসছে। বাংলাদেশের চিত্রকলা চর্চার প্রথম ভাগ সুলতান-জয়নুল নির্দেশিত হলেও বহির্বিশ্বে যোগসূত্র-পাঠসূত্র ও জীবনাভিজ্ঞতার সমন্বিত শিল্প মাধ্যমকে নান্দনিক একটি অবস্থানে নিয়ে গেছে। প্রাতিষ্ঠানিক-অপ্রাতিষ্ঠানিক-সাংগঠনিক ও ব্যক্তি পর্যায় থেকে শিল্পকলা চর্চার অনুপুক্সক্ষ ইতিহাসের নিবিড় পাঠ বরাবর বাংলাদেশের চিত্রকলাকে ঋদ্ধ করেছে। 

গ্রন্থ পরিকল্পনায় শিল্প-শিল্পপ্রতিষ্ঠান, প্রাতিষ্ঠানিক শিল্পশিক্ষা ও তার বিকাশ বিশেষ গুরুত্বে সংযুক্ত করা হয়েছে। তিনটি অংশে পাঠসূচি সজ্জিত। প্রথম অংশের নয়টি প্রবন্ধে বঙ্গীয় চারুকলাচর্চার একটি চালচিত্র; দ্বিতীয় অংশের ছয়টি প্রবন্ধে বাংলাদেশপর্ব অর্থাৎ স্বাধীনতাপূর্ব সময় থেকে স্বাধীন বাংলাদেশের চারুকলাচর্চার ইতিহাস এবং তৃতীয় অংশের তিনটি প্রবন্ধে প্রাতিষ্ঠানিক চারুকলাচর্চার একটি ধারণা সন্নিবেশন করার চেষ্টা করা হয়েছে। সংকলিত প্রবন্ধগুচ্ছ বাংলাদেশের শিল্প চর্চার ইতিহাস পাঠের প্রথম পাঠ হিসেবে বিবেচিত হতে পারে।",বাংলাদেশের চিত্রকলা : বিচিত্র বিন্যাস ইতিহাসের পাঠ, , ,রাশেদ সুখন,নৈঋতা ক্যাফে,9789848086568,"1st Published,2019", ,বাংলাদেশ,বাংলা
হলদে রোদ ও মেয়েটা ,পূর্ণিয়া সামিয়া,TK. 250,TK. 175,https://rokomari.com//book/194352/halde-rod-o-meyeta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f9c399abd_194352.jpg,"""হলদে রোদ ও মেয়েটা"" বইয়ের সংক্ষিপ্ত কথা:
স্বাভাবিক ও বাস্তব অভিজ্ঞতাগুলোকে তুলে আনার আপ্রাণ চেষ্টা রয়েছে। দুটি কবিতার শিরোনাম নিয়ে গ্রন্থটির নামকরণ করা হয়েছে। প্রথম  ভাগে পাওয়া যাবে প্রকৃতির বৈচিত্র্যতায় মানব-মানবীর রূপক প্রেমের প্রকাশ, অন্য ভাগে পাওয়া যাবে, না পাওয়ার টানাপড়েন ও বিচ্ছেদ আনন্দের ভেতর দিয়ে নস্টালজিয়ায় আন্দোলিত হওয়ার নানা সুর। গ্রন্থটির কবিতাগুলো সহজ, সুন্দর এবং সুখপাঠ্য। পাঠকের আশ্রয়-প্রশ্রয়ের কবির কবিতা আরো পরিণত হয়ে উঠবে।",হলদে রোদ ও মেয়েটা,পূর্ণিয়া সামিয়া, , ,নৈঋতা ক্যাফে,9789848124055,"1st Published,2020",79,বাংলাদেশ,বাংলা
শাহাদুজ্জামানের গল্প: বিষয়বৈচিত্র্য,শাহাদুজ্জামান,TK. 400,TK. 300,https://rokomari.com//book/199557/shahaduzzamaner-golpo--bishoyboichitra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bddf2b42e_199557.jpg,"",শাহাদুজ্জামানের গল্প: বিষয়বৈচিত্র্য,শাহাদুজ্জামান, ,অনার্য আনোয়ার,নৈঋতা ক্যাফে,9789849444206,"1st Published,2020",176,বাংলাদেশ,বাংলা
নিগড়,রুবাইয়াৎ আহমেদ ,TK. 160,TK. 120,https://rokomari.com//book/199552/nigar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/882a73f7a_199552.jpg,"",নিগড়,রুবাইয়াৎ আহমেদ, , ,নৈঋতা ক্যাফে,9789848124123,"1st Published,2020",48,বাংলাদেশ,বাংলা
অমানিশা,রুবাইয়াৎ আহমেদ,TK. 160,TK. 120,https://rokomari.com//book/199551/amanisha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/01509fef9_199551.jpg,"",অমানিশা,রুবাইয়াৎ আহমেদ, , ,নৈঋতা ক্যাফে,9789848124147,"1st Published,2020",47,বাংলাদেশ,বাংলা
রবীন্দ্রনাথের ভাঙা গান,আহমেদ রেজা,TK. 200,TK. 150,https://rokomari.com//book/191577/rabindranather-bhanga-gaan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8e7b09382_191577.jpg,"""রবীন্দ্রনাথের ভাঙা গান"" বইয়ের ফ্ল্যাপের লেখা:
আহমেদ রেজার এই গানটির আলােচনা যেন শৈলীবিজ্ঞানের আলােচনার একটি আদল হয়ে উঠেছে। শব্দের শ্রেণি, বাক্যে তার সংস্থান, যতিচিহ্নের ব্যবহার আর অর্থব্যঞ্জনার উপর আলােকপাত ইত্যাদি যাবতীয় সূত্রের প্রয়ােগে এই আলােচনাটি শুধু বাংলা নয়, ইংরেজি এবং অন্যান্য ভাষার শৈলীশিক্ষার্থীর কাছেও উপকারজনক হয়ে উঠবে। ইংরেজি কবিতার শৈলীর এই আলােচনা বাংলা ভাষায় সুলভ নয়, আগে কোথাও দেখেছি বলে মনে হয় না। আমি রেজার ইংরেজি ভাষার ব্যাকরণের গভীরে প্রবেশ এবং ব্যাকরণ কীভাবে ভাষিক নন্দনতত্ত্বকে নির্মাণ করে সে বিষয়ে স্পষ্ট ধারণা দেখে মুগ্ধ হয়ে গেছি।
যখন তিনি তুলনায় এসেছেন তখন শারীরিক তুলনা- ছত্র, ছত্রদৈর্ঘ্য, মিল, স্তবকবন্ধ, ছন্দ এবং গানের প্রসঙ্গে তালইত্যাদির আলােচনা যেমন করেছেন, তেমনই ভাবনার দূরত্ব আর নৈকট্যও চমকার নির্দেশ করেছেন। অন্য। গানের ক্ষেত্রেও আগেকার পদ্ধতি অনুসরণ করেই সূক্ষ্মাতিসূক্ষ্ম আলােচনার অবতারণা করেছেন। সেই সঙ্গে মূল কবিব্যক্তি আর গানের গায়ক বা কথকব্যক্তির (persona, প্রাচীর অর্থ ‘মুখােশ’) তুলনা করে দুয়ের নানা মাত্রা লক্ষ করেছেন।",রবীন্দ্রনাথের ভাঙা গান,আহমেদ রেজা, , ,নৈঋতা ক্যাফে,9789849444084,"1st Published,2019", ,বাংলাদেশ,বাংলা
মৃত শহরের শেষ দৃশ্য,গৌতম কৈরী,TK. 250,TK. 175,https://rokomari.com//book/197517/mritr-shohorer-shesh-drissha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d3c133238_197517.jpg,"",মৃত শহরের শেষ দৃশ্য,গৌতম কৈরী, , ,নৈঋতা ক্যাফে,9789848124253,"1st Published,2020", ,বাংলাদেশ,বাংলা
প্রণয়োপাখ্যান,রুবাইয়াৎ আহমেদ,TK. 160,TK. 120,https://rokomari.com//book/199553/pronoyopakhyan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85dc78965_199553.jpg,"",প্রণয়োপাখ্যান,রুবাইয়াৎ আহমেদ, , ,নৈঋতা ক্যাফে,9789848124130,"1st Published,2020",43,বাংলাদেশ,বাংলা
অনাহূত,রুবাইয়াৎ আহমেদ ,TK. 160,TK. 120,https://rokomari.com//book/199550/anahuto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f37358f4d_199550.jpg,"",অনাহূত,রুবাইয়াৎ আহমেদ, , ,নৈঋতা ক্যাফে,9789848124116,"1st Published,2020",48,বাংলাদেশ,বাংলা
ভাঙনের পর,হারুকি মুরাকামি,TK. 420,TK. 315,https://rokomari.com//book/191784/bhaangoner-por,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/179c82555_191784.jpg,"",ভাঙনের পর,হারুকি মুরাকামি,কাসিফুর রহমান, ,নৈঋতা ক্যাফে,9789849444091,"1st Published,2019", ,বাংলাদেশ,বাংলা
লালবাগ ও ক্যামেরায় রেখেছি চোখ,মুরসালিন হক জুনায়েদ,TK. 200,TK. 140,https://rokomari.com//book/194356/lalbag-o-camerai-rekhechi-chokh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5cae50168_194356.jpg,"""লালবাগ ও ক্যামেরায় রেখেছি চোখ"" বইয়ের সংক্ষিপ্ত কথা:

যা বোধকে নাড়া দেয়, তাই কবিতা। শব্দের যুগমিলন ও জীবনের বিন্যাস যে বাক্যে উঠে আসে তাকে খুঁজে বেড়ানোর তাগিদ ও প্রেরণাই কবিতার অবয়ব নির্মাণ করে দিতে পারে। দৈনন্দিন পথচলা ও সময়ের আবর্তন যে চিন্তাকে উসকে দেয় তাকে আগলে রাখার প্রয়াস প্রায় সবাই দেখালেও তাকে আগলে রাখাটা সহজ নয়। মুরসালিন জুনায়েদ দৈনন্দিন এ প্রেরণা ও আবেগগুলোকে আগলে রাখতে পেরেছেন। তার কবিতা পাঠে বোধের অনুরণন ঘটতে পারে, চিনে নিতে পারেন নিজেকে কিংবা কবিতার অবয়বে নিজের প্রতিরূপ আবিষ্কার করে ফেলতেও পারেন। জুনায়েদের কথা ও ভাষ্য সহজ-সরল কিন্তু তরল নয়। কথার ভাঁজে সরলতার বীজ বুনে কখনো কখনো জীবনবোধের চিরায়ত রূপকে বিনির্মাণ করেছেন। তাঁর কাব্য পাঠে আপনাকে সাদর সম্ভাষণ।",লালবাগ ও ক্যামেরায় রেখেছি চোখ,মুরসালিন হক জুনায়েদ, , ,নৈঋতা ক্যাফে,9789849444275,"1st Published,2020",64,বাংলাদেশ,বাংলা
সন্ধ্যা ও ছায়া আখ্যান,রাজা হাসান,TK. 220,TK. 154,https://rokomari.com//book/194379/sandhya-o-chaya-aakhyan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/242bc19f8_194379.jpg,"",সন্ধ্যা ও ছায়া আখ্যান,রাজা হাসান, , ,নৈঋতা ক্যাফে,9789849444176,"1st Published,2020",64,বাংলাদেশ,বাংলা
সেলিম আল দীন-এর ত্রয়ীনাট্য : নবনির্মিতি,মনিরুল ইসলাম রুবেল,TK. 400,TK. 300,https://rokomari.com//book/199559/selim-al-deen-er-troyeenattyo---nabanirmiti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0910ff4d1_199559.jpg,"",সেলিম আল দীন-এর ত্রয়ীনাট্য : নবনির্মিতি,মনিরুল ইসলাম রুবেল, , ,নৈঋতা ক্যাফে,9789848124321,"1st Published,2020",126,বাংলাদেশ,বাংলা
ঢাকার নাগরিক উন্নয়নে নবাবদের ভূমিকা (১৮৫৭-১৯৪৭),এস.এম. রুহুল আমীন রিজভী,TK. 500,TK. 375,https://rokomari.com//book/199558/dhakar-nagorik-unnayone-nobabder-bhumika--1857-1947-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0cdac0dc7_199558.jpg,"",ঢাকার নাগরিক উন্নয়নে নবাবদের ভূমিকা (১৮৫৭-১৯৪৭),এস.এম. রুহুল আমীন রিজভী, , ,নৈঋতা ক্যাফে,9789848124314,"1st Published,2020",160,বাংলাদেশ,বাংলা
বাংলাভাষী অটিস্টিক শিশুর ভাষা প্রকৃতি,সাবরিন নাহার,TK. 250,TK. 188,https://rokomari.com//book/199549/banglabhashi-autistic-shishur-bhasha-prokriti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5582b1386_199549.jpg,"",বাংলাভাষী অটিস্টিক শিশুর ভাষা প্রকৃতি,সাবরিন নাহার, , ,নৈঋতা ক্যাফে,9789848124307,"1st Published,2020",80,বাংলাদেশ,বাংলা
যে সূর্যটা রানুর জন্য উঠেছিল,ফয়সাল রকি,TK. 250,TK. 175,https://rokomari.com//book/197519/je-surjota-ranur-jonno-uthechilo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e5ad18011_197519.jpg,"",যে সূর্যটা রানুর জন্য উঠেছিল,ফয়সাল রকি, , ,নৈঋতা ক্যাফে,9789848124161,"1st Published,2020", ,বাংলাদেশ,বাংলা
