Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
JULIA KRISTEVA,Noëlle McAfee,440.00,418.00,https://www.prothoma.com/product/7937/julia-kristeva,https://image.prothoma.com/productThumbs/2021/02/60224f9811ec0_1612861336.jpg, , , , , , , , , , , 
Fredric Jameson,Adam Roberts,440.00,418.00,https://www.prothoma.com/product/7938/fredric-jameson,https://image.prothoma.com/productThumbs/2021/02/60224f9878d54_1612861336.jpg, , , , , , , , , , , 
JUDITH BUTLER,Sara Salih,440.00,418.00,https://www.prothoma.com/product/7935/judith-butler,https://image.prothoma.com/productThumbs/2021/02/60224f973133d_1612861335.jpg, , , , , , , , , , , 
Adorno On Popular Culture,Thomas Cable,285.00,270.75,https://www.prothoma.com/product/7766/adorno-on-popular-culture,https://image.prothoma.com/productThumbs/2021/02/60224f5a1df8d_1612861274.jpg, , , , , , , , , , , 
Performance Theory,Richard Schechner,665.00,631.75,https://www.prothoma.com/product/7764/performance-theory,https://image.prothoma.com/productThumbs/2021/02/60224f599b6dc_1612861273.jpg, , , , , , , , , , , 
God Here and Now,Karl Barth,590.00,560.50,https://www.prothoma.com/product/5976/god-here-and-now,https://image.prothoma.com/productThumbs/2021/02/6022481c6501a_1612859420.jpg, , , , , , , , , , , 
Man Meets Dog,Konrad Lorenz,475.00,451.25,https://www.prothoma.com/product/5651/man-meets-dog,https://image.prothoma.com/productThumbs/2021/02/602246b6e7378_1612859062.jpg, , , , , , , , , , , 
LOUIS ALTHUSSER,Luke Ferretter,440.00,418.00,https://www.prothoma.com/product/4979/louis-althusser,https://image.prothoma.com/productThumbs/2021/02/602243c3149bc_1612858307.jpg, , , , , , , , , , , 
JEAN-FRANCOIS LYOTARD,Simon Malpas,440.00,418.00,https://www.prothoma.com/product/4980/jean-francois-lyotard,https://image.prothoma.com/placeholderImages/book-placeholder.jpg, , , , , , , , , , , 
JEAN BAUDRILLARD,Richard J. Lane,440.00,418.00,https://www.prothoma.com/product/4975/jean-baudrillard,https://image.prothoma.com/productThumbs/2021/02/602243c21a449_1612858306.jpg, , , , , , , , , , , 
PAUL DE MAN,Martin McQulillan,440.00,418.00,https://www.prothoma.com/product/4977/paul-de-man,https://image.prothoma.com/productThumbs/2021/02/602243c290620_1612858306.jpg, , , , , , , , , , , 
On Dialogue,David Bohm,570.00,541.50,https://www.prothoma.com/product/4576/on-dialogue,https://image.prothoma.com/productThumbs/2021/02/602243426ac66_1612858178.jpg, , , , , , , , , , , 
Autobiography : The new critical idiom,Linda Anderson,456.00,433.20,https://www.prothoma.com/product/4566/autobiography-:-the-new-critical-idiom,https://image.prothoma.com/productThumbs/2021/02/602243402fb07_1612858176.jpg, , , , , , , , , , , 
COMEDY,Andrew Stott,456.00,433.20,https://www.prothoma.com/product/4076/comedy,https://image.prothoma.com/productThumbs/2021/02/602242887a4ed_1612857992.jpg, , , , , , , , , , , 
Complexity and Social Mivements :Multitudes at the edge of chaos,Home,"3,230.00","3,068.50",https://www.prothoma.com/product/3324/complexity-and-social-mivements-:multitudes-at-the-edge-of-chaos,https://image.prothoma.com/productThumbs/2021/02/602240e93df62_1612857577.jpg, , , , , , , , , , , 
Popularizing Anthropology,Home,"1,900.00","1,805.00",https://www.prothoma.com/product/3296/popularizing-anthropology,https://image.prothoma.com/productThumbs/2021/02/602240e2b9521_1612857570.jpg, , , , , , , , , , , 
Drug Treatment in Psychiatry,Home,"1,700.00","1,615.00",https://www.prothoma.com/product/3300/drug-treatment-in-psychiatry,https://image.prothoma.com/productThumbs/2021/02/602240e39995b_1612857571.jpg, , , , , , , , , , , 
The Body in Everyday Life,Home,"4,750.00","4,512.50",https://www.prothoma.com/product/3227/the-body-in-everyday-life,https://image.prothoma.com/productThumbs/2021/02/602240d32c31a_1612857555.jpg, , , , , , , , , , , 
Companion to the European Union,Home,"3,125.00","2,968.75",https://www.prothoma.com/product/3218/companion-to-the-european-union,https://image.prothoma.com/productThumbs/2021/02/602240d10715a_1612857553.jpg, , , , , , , , , , , 
