Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বৈদিক সভ্যতা,ইরফান হাবিব,"",TK. 180,https://rokomari.com//book/122356/boidik-sabbhata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a64d6d8b_122356.jpg,"""বৈদিক সভ্যতা"" মুখবন্ধ:
এই নিবন্ধ গ্রন্থটির সঙ্গে সঙ্গে ভারতবর্ষের মানুষের ইতিহাস গ্রন্থমালার ঘোষিত তিনটি সংকলনের প্রথম গুচ্ছটি শেষ হলো। প্রথম দুই অধ্যায়ে আমরা পাঠককে ঋগবেদের দ্বারা উন্মোচিত এক জগতে এবং পরবর্তী বৈদিক রচনার কাছে নিয়ে যাই, আর তৃতীয়টিতে ওই একই সময়কালে (১৫০০-৭০০ খ্রিস্টপূর্বাব্দ) উপমহাদেশের প্রত্নতাত্ত্বিক চিত্র উপস্থাপনের চেষ্টা করা হয়।

আমরা পূর্বের দুটি নিবন্ধ গ্রন্থে রচনাশৈলী এবং তথ্য ও যুক্তির মাত্রাগত সমতা অনুসরণ করাবার চেষ্টা করেছি। পাঠ থেকে উদ্ধৃতি’ নতুন সংযোজন। কেননা এখন আমরা লিখিত উৎস ব্যবহার করছি (যদিও সেই সময়কালে সেগুলি কথনের দ্বারা সংবাহিত হতো)। আশা করি এই উদ্ধৃতিগুলি পাঠককে মূল রচনা সম্পর্কে একটা ধারণা দেবে।
প্রসঙ্গ উল্লেখের নীতিতে অল্প একটু পরিবর্তন করতে হয়েছে। যেহেতু আমরা আমাদের লেখাকে পাদটীকায় কণ্টকিত করিনি, তাই রচনার প্রতিটি অধ্যায়ে ও অনুচ্ছেদে আমরা সংক্ষিপ্তভাবে জ্ঞাতব্য বিষয়গুলি উল্লেখ করার ভারততত্ত্ববিদদের অভ্যাস অনুসরণ করেছি (যাই হোক না এই বিভাগ ও উপবিভাগ মূল রচনাগুলিতেই নির্দিষ্ট আছে।) সবক্ষেত্রেই এটা স্বাধীনভাবে স্থির করা হয়েছে কেননা আমরা ভেবেছি যে পাঠক নির্দিষ্টভাবেই প্রমাণ্যতার নিশ্চয়তা পেতে পছন্দ করবেন।
যেহেতু মূল রচনা নিয়েই কাজ-কারবার তাই সঠিক অনুবাদের প্রয়োজনীয়তাকে মেনে নিতে হয়েছে। সংস্কৃত থেকে অনুবাদের জন্য আমরা স্বীকৃত পদ্ধতি মেনে চলেছি। অবশ্য কিছু পরিশোধন এবং পরিমার্জনের প্রয়োজন হয়েছে : এই পত্রিকায় ‘c’ হলো ‘ch’ কেননা আমাদের মনে হয়েছে, যেখানে ‘chat’ শব্দটি আসলে বলতে চাওয়া হয়েছে সেখানে ওর পরিবর্তে ‘cat’ লিখলে সাধারণ পাঠকের পড়তে অসুবিধা হবে); তেমনি ‘ch’ স্থলে chh; r'-এর পাঠ হলো ‘ri (সাধারণভাবে এর যা উচ্চারণ); s’ হলো ‘sh’ এবং s’-এর পাঠ ‘sh'। এই সামান্য পরিমার্জনে সাধারণ পাঠক অনেক বেশি স্বাচ্ছন্দ অনুভব করবেন, এটাই আমাদের মনে হয়েছে (যেমন ‘Krsna' শব্দটি পড়তে হোঁচট খেলেও, ‘Krishna' শব্দটি তাদের কাছে অনেক সহজ মনে হবে, এই আশায়)। আবেস্তীয় শব্দের সঙ্গে বৈদিক শব্দের তুলনামূলক আলোচনায় (যেখানে শব্দাংশে ‘r শুনতে ‘ar'-এর মতো) সাধারণ ‘ri শব্দাংশ থেকে ‘r-এর স্থলে ব্যবহৃত ‘ri' শব্দাংশকে পৃথক করা বাঞ্ছনীয় কিন্তু অযথা পাণ্ডিত্য পরিহার করতে এই পার্থক্যটি উল্লেখের চেষ্টা করিনি আমরা। নিবন্ধমালার প্রধান বিষয়বস্তুর দৃষ্টিতেই, বিশেষ টীকার বিষয় নির্বাচিত হয়েছে। ঋগবেদের নদী-স্রোত্রের উপস্থাপনায় ভারতবর্ষের ঐতিহাসিক ভূগোলের সূচনা। কাজেই ঐতিহাসিক ভূগোলের প্রসঙ্গে একটি টীকা সংযোজিত হয়েছে। বৈদিক সাহিত্যে জাতি ব্যবস্থার অনুমানের আভাস মেলে। সে কারণে বিকাশের সুদীর্ঘ কালান্তরে আজ জাতি ব্যবস্থা আমাদের বাস্তবে যেভাবে প্রতিভাত তারই বিভিন্ন পক্রিয়ায় বিবিধ-বৈশিষ্ট্যের ব্যাখ্যায় এ প্রসঙ্গে একটি টীকা রয়েছে। কিছুদিন যাবৎ সরকারি পৃষ্ঠপোষকতায় যে তথাকথিত মহাকাব্য প্রত্নতত্ত্ব বিকাশের প্রচেষ্টা চলছে, তারই বিভিন্ন দিক নির্দেশের কারণে এসেছে তৃতীয় টীকাটি। 
এই গ্রন্থমালার সম্পাদক হিসেবে, এই গ্রন্থের প্রথম সহ-সম্পাদক কিছু বিশেষ ঋণ স্বীকার করতে চেয়েছেন। ভুপালের (মধ্যপ্রদেশ) টেক্সটবুক কর্পোরেশনের অনুদানেই আলিগড় ঐতিহাসিক সোসাইটি এই পরিকল্পনা গ্রহণ করতে পেরেছেন। শ্ৰী ফয়েজ হাবিব (শ্রী জহুর আলি খানের সহযোগিতায়) এই গ্রন্থের সমস্ত মানচিত্র এঁকেছেন এবং শ্রী গুলাম মুজতবা সবকটি ছবি তুলেছেন। সবচেয়ে কঠিন কাজের দায়িত্ব ছিল শ্রী মুনীরুদ্দীন খানের ওপর। অত্যন্ত ধৈৰ্য্যসহকারে তিনি সমগ্র রচনাটি যথাচিত পরিমার্জনা করেছেন তিনি, কথনচিহ্নগুলি যুক্ত করেছেন সযত্নে। শ্রী আর্শাদ আলি সমস্ত নথিপত্র ও হিসাবনিকাশের দায় সামাল দিয়েছেন। আর সমস্তক্ষণ নানান কাজে এদিক থেকে ওদিক ছুটে বেড়িয়েছেন শ্রী ইদ্রিস বেগ। বিবিধ কাজে নানান সহায়তার জন্য ড. রমেশ রাওয়াত, ড. ফারহাত হাসান এবং শ্রী ইসরাত আলম ধনবাদাহ।

আলিগড় ঐতিহাসিক সোসাইটির সম্পাদক শ্রীমতী শিরিন মুসভি সমগ্র সাংগঠনিক ব্যবস্থাপনা দেখাশুনা করেছেন এবং অতি অল্পদিনের নোটিশে এই বিশাল নির্ঘণ্ট প্রস্তুত করে দিয়েছেন। আমাদের বিলম্ব এবং শেষ মিনিটের টানাপোড়েন সবই হাসিমুখে মেনে নিয়েছেন শ্রীযুক্ত রাজেন্দ্রপ্রসাদ এবং শ্রীমতি ইন্দিরা চন্দ্রশেখর।
ডিসেম্বর ২০০৩
ইরফান হাবিব 
বিজয় কুমার ঠাকুর",বৈদিক সভ্যতা,"ইরফান হাবিব,বিজয় কুমার ঠাকুর",কাবেরী বসু, ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,"6th Printed,2016",104,ভারত,বাংলা
সিন্ধু সভ্যতা,ইরফান হাবিব,"",TK. 180,https://rokomari.com//book/122357/sindhu-sabbhata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4caacbbb8_122357.jpg,"সিন্ধু সভ্যতা বইয়ের বিষয়সূচী *

সিন্ধু অববাহিকা এবং তার সীমান্ত প্রদেশে প্রাচীন ব্রোঞ্জ যুগের সভ্যতা *
নগর বিপ্লব’-এর অভিমুখে *
হেলমান্দ সভ্যতা*
 প্রাচীন সিন্ধু সংস্কৃতি *
 সিন্ধু সভ্যতার উন্মেষ *
টীকা ১.১ প্রত্নতত্ত্বের পদ্ধতিসমূহ*
টীকা ১.২ গ্রন্থপঞ্জীর টীকা *
সিন্ধু সভ্যতা*
বিস্তার এবং জনসংখ্যা *
 কৃষি এবং জীবিকা *
 হস্তশিল্প উৎপাদন *
 শহর এবং নগরী * 
বাণিজ্য *
 সংস্কৃতি : লেখনরীতি, শিল্প, ধর্ম * 
মানুষ, সমাজ, রাষ্ট্র * 
সিন্ধু সভ্যতার অবসান *
টীকা ২.১ সিন্ধু লিপি টীকা *
সিন্ধু সভ্যতা এবং ঋগবেদ *
টীকা ২.৩ গ্রন্থপঞ্জীর টীকা *
 অ-নাগরিক তাম্র-প্রস্তর সংস্কৃতিসমূহ *
খ্রিস্টপূর্ব ১৫০০ অবধি *
ভাষার রূপবদল *
নগরীর পরে *
সীমান্তপ্রদেশের তাম্রপ্রস্তর সংস্কৃতি সমূহ এবং সিন্ধু উপত্যকা *
অন্যান্য প্রস্তর সংস্কৃতি, খ্রিস্টপূর্ব ১৫০০ অবধি*
 খ্রিস্টপূর্ব ১৫০০-এর পূর্বেবর্তী ভাষার রূপ বদল*
টীকা ৩.১ ভাষা ইতিহাসের পুনর্নির্মাণ*
 টীকা ৩.২ গ্রন্থপঞ্জীর টীকা",সিন্ধু সভ্যতা,ইরফান হাবিব, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত),8176261661,"6th Printed,2016",127,ভারত,বাংলা
প্রাক-ইতিহাস,ইরফান হাবিব,"",TK. 180,https://rokomari.com//book/122326/prak-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b08b972a2_122326.jpg,"",প্রাক-ইতিহাস,ইরফান হাবিব, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত),8176261092,"7th Printed,2017",88,ভারত,বাংলা
আমার ছেলেবেলা (গোর্কির আত্মজীবনীমূলক উপন্যাস ত্রয়ীর ১ম খণ্ড),ম্যাক্সিম গোর্কি,"",TK. 144,https://rokomari.com//book/139355/amar-chelebela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/176e8b9e2884_139355.jpg,"",আমার ছেলেবেলা (গোর্কির আত্মজীবনীমূলক উপন্যাস ত্রয়ীর ১ম খণ্ড),ম্যাক্সিম গোর্কি, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত),8176261610,"2nd Printed,2006",241,ভারত,বাংলা
মাও বনাম মাওবাদ,শান্তনু দে,"",TK. 90,https://rokomari.com//book/171537/mao-bonam-maobad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মাও বনাম মাওবাদ,শান্তনু দে, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2012, ,ভারত,বাংলা
পৃথিবীর পথে (গোর্কির আত্মজীবনীমূলক উপন্যাস ত্রয়ীর ২য় খণ্ড),ম্যাক্সিম গোর্কি,"",TK. 180,https://rokomari.com//book/139354/prethibir-pothe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d4fd08bb764_139354.jpg,"",পৃথিবীর পথে (গোর্কির আত্মজীবনীমূলক উপন্যাস ত্রয়ীর ২য় খণ্ড),ম্যাক্সিম গোর্কি, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত),8176261807,"3rd Printed,2012",340,ভারত,বাংলা
মার্কসীয় অর্থনীতি,"লিয়নটিয়েভ, এ","",TK. 180,https://rokomari.com//book/171543/marksiyo-orthoniti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মার্কসীয় অর্থনীতি,"লিয়নটিয়েভ,এ", , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2012, ,ভারত,বাংলা
শিশু কাহিনী,লিও টলস্টয়,"",TK. 45,https://rokomari.com//book/171570/shishu-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শিশু কাহিনী,লিও টলস্টয়, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2010, ,ভারত,বাংলা
এঙ্গেলস,ইয়েভগেনিয়া স্তেপানডা,"",TK. 108,https://rokomari.com//book/171559/engelas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এঙ্গেলস,ইয়েভগেনিয়া স্তেপানডা, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2009, ,ভারত,বাংলা
অরাজনৈতিক সুশীল সমাজের রাজনৈতিক দর্শন,হরিলাল নাথ,"",TK. 18,https://rokomari.com//book/171526/orajnoitik-sushil-somajer-rajnoitik-dorshon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অরাজনৈতিক সুশীল সমাজের রাজনৈতিক দর্শন,হরিলাল নাথ, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2009, ,ভারত,বাংলা
বুদ্ধিজীবী কাহাকে বলে!,দীপেন ঘোষ,"",TK. 45,https://rokomari.com//book/171527/budhijibi-kahake-bole-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বুদ্ধিজীবী কাহাকে বলে!,দীপেন ঘোষ, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2009, ,ভারত,বাংলা
সিঙ্গুরনামা: কৃষি ও শিল্পের পরিপূরক সম্পর্কের দলিল,দীপেন ঘোষ,"",TK. 54,https://rokomari.com//book/171529/ningurnama---krishi-o-shilper-poripurok-sompoker-dolil,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সিঙ্গুরনামা: কৃষি ও শিল্পের পরিপূরক সম্পর্কের দলিল,দীপেন ঘোষ, , ,ন্যাশনাল বুক এজেন্সি প্রাইভেট লিমিটেড (ভারত), ,2009, ,ভারত,বাংলা
