Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গোধূলীর আলোয় বন্ধুরা  ,আফরোজা পারভীন,TK. 120,TK. 106,https://rokomari.com//book/28580/godhulir-aloy-bondhura,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গোধূলীর আলোয় বন্ধুরা,আফরোজা পারভীন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
অবয়ব,মাহবুব তালুকদার,TK. 250,TK. 213,https://rokomari.com//book/28581/oboyob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অবয়ব,মাহবুব তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
প্রকাশ্য গোপন  ,মাহবুব তালুকদার,TK. 250,TK. 213,https://rokomari.com//book/28583/prokassho-gopon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রকাশ্য গোপন,মাহবুব তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
স্বপ্নের ঠিকানা,শেখ আবদুল জলিল,TK. 150,TK. 132,https://rokomari.com//book/28584/shopner-thikana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বপ্নের ঠিকানা,শেখ আবদুল জলিল, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ফেউ ,অরুণ কুমার বিশ্বাস,TK. 200,TK. 176,https://rokomari.com//book/28585/pheu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফেউ,অরুণ কুমার বিশ্বাস, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
নীলিমার অশনি সংকেত ,রাজিয়া মজিদ,TK. 300,TK. 255,https://rokomari.com//book/28587/nilimar-oshoni-songket,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নীলিমার অশনি সংকেত,রাজিয়া মজিদ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
উপন্যাস সমগ্র ,আতা সরকার,TK. 230,TK. 196,https://rokomari.com//book/28589/uponash-somoggro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উপন্যাস সমগ্র,আতা সরকার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
তারা দুই বোন ,দীপক চৌধুরী ,TK. 150,TK. 132,https://rokomari.com//book/28591/tara-dui-bon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তারা দুই বোন,দীপক চৌধুরী, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
স্বপ্নের সিড়ি    ,তাসাদ্দুক হোসেন,TK. 150,TK. 132,https://rokomari.com//book/28593/shopner-siri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বপ্নের সিড়ি,তাসাদ্দুক হোসেন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
অন্য রকম যুদ্ধ   ,নয়ন রহমান,TK. 100,TK. 90,https://rokomari.com//book/28594/onno-rokom-juddo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অন্য রকম যুদ্ধ,নয়ন রহমান, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
স্বপ্ন জড়ানো মানুষ ,মাহবুব তালুকদার,TK. 150,TK. 132,https://rokomari.com//book/28596/shopno-jorano-manus,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বপ্ন জড়ানো মানুষ,মাহবুব তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ইতির ইতিকথা  ,মাহবুব তালুকদার,TK. 100,TK. 90,https://rokomari.com//book/28598/itir-itikotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইতির ইতিকথা,মাহবুব তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
প্রত্যাবর্তন ,নুরুন্নাহার মল্লিক,TK. 60,TK. 54,https://rokomari.com//book/28600/prottaborton,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রত্যাবর্তন,নুরুন্নাহার মল্লিক, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ভাষা আন্দোলনের গল্প ,হায়াৎ মামুদ,TK. 400,TK. 340,https://rokomari.com//book/28601/vasa-andoloner-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাষা আন্দোলনের গল্প,হায়াৎ মামুদ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,0, , ,বাংলাদেশ,বাংলা
হাজার তারার দীপালী ,নয়ন রহমান,TK. 150,TK. 132,https://rokomari.com//book/28603/hajar-tarar-dipali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হাজার তারার দীপালী,নয়ন রহমান, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
শাদা আকাশ এবং কয়েকজন মৃত শরীর  ,ফজল শাহাবুদ্দীন,TK. 150,TK. 132,https://rokomari.com//book/28606/shada-akash-and-koyekjon-mrito-shorir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শাদা আকাশ এবং কয়েকজন মৃত শরীর,ফজল শাহাবুদ্দীন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
প্রেমের গল্প ,শাহজাহান কিবরিয়া,TK. 150,TK. 132,https://rokomari.com//book/28607/premer-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রেমের গল্প,শাহজাহান কিবরিয়া, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
পদশব্দ ,সেলিনা হোসেন,TK. 150,TK. 132,https://rokomari.com//book/28609/podosobdo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পদশব্দ,সেলিনা হোসেন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
সোনাডাঙ্গা ও ফুলেশ্বরীর গল্প ,কাজী জাকির হোসেন,TK. 150,TK. 132,https://rokomari.com//book/28610/sonadanga-o-fuleshorir-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সোনাডাঙ্গা ও ফুলেশ্বরীর গল্প,কাজী জাকির হোসেন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
বারুদের ঘ্রাণ ,জাহানারা আরজু,TK. 100,TK. 90,https://rokomari.com//book/28629/baruder-ghran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বারুদের ঘ্রাণ,জাহানারা আরজু, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ইতিহাসের বেলিফুল ,মনি হায়দার ,TK. 150,TK. 132,https://rokomari.com//book/28630/itihaser-beliful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইতিহাসের বেলিফুল,মনি হায়দার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
কলম তুমিই বলো ,অনামিকা হক লিলি,TK. 100,TK. 90,https://rokomari.com//book/28631/kolon-tumie-balo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কলম তুমিই বলো,অনামিকা হক লিলি, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
সব পাখি ঘরে আসে ,মাহবুব তালুকদার,TK. 120,TK. 106,https://rokomari.com//book/28653/sob-pakhi-ghore-ase,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সব পাখি ঘরে আসে,মাহবুব তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
নির্বাচিত গল্প ,জাফর তালুকদার,TK. 200,TK. 176,https://rokomari.com//book/28654/nirbachito-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত গল্প,জাফর তালুকদার, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
গ্রামের নাম খিদিরপুর ,মোহাম্মদ জিল্লুর রহমান,TK. 150,TK. 132,https://rokomari.com//book/28655/gramer-nam-khidirpur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গ্রামের নাম খিদিরপুর,মোহাম্মদ জিল্লুর রহমান, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
আনন্দ মেঘ ,নাসের রহমান,TK. 120,TK. 106,https://rokomari.com//book/28657/anondo-megh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আনন্দ মেঘ,নাসের রহমান, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
আল্লাউদ্দিন আল-আজাদ এর শ্রেষ্ঠ গল্প  ,ডঃ আল্লাউদ্দিন আল-আজাদ,TK. 250,TK. 213,https://rokomari.com//book/28659/alauddin-al-azad-er-shrestho-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আল্লাউদ্দিন আল-আজাদ এর শ্রেষ্ঠ গল্প,ডঃ আল্লাউদ্দিন আল-আজাদ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841500027,"1st,2000",418,বাংলাদেশ,বাংলা
যুক্তিবিদ্যা-প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),মোঃ মাহবুবুর রহমান,"",TK. 160,https://rokomari.com//book/69092/logic-1st-paper--for-class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0709_69092.GIF,"",যুক্তিবিদ্যা-প্রথম পত্র (একাদশ-দ্বাদশ শ্রেণি),মোঃ মাহবুবুর রহমান, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"New and Revised Edition,2016", ,বাংলাদেশ,বাংলা
গদ্য সংগ্রহ,সুহিতা সুলতানা,TK. 100,TK. 75,https://rokomari.com//book/114569/goddo-songrho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c2638c350874_114569.gif,"",গদ্য সংগ্রহ,সুহিতা সুলতানা, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841501376,"1st Published,2006",102,বাংলাদেশ,বাংলা
যাঁদের সান্নিধ্যে ধন্য হয়েছি,মুহম্মদ এলতাসউদ্দিন,TK. 230,TK. 173,https://rokomari.com//book/114568/jander-sannidhhe-dhanna-hoechhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5120802e1394_114568.gif,"",যাঁদের সান্নিধ্যে ধন্য হয়েছি,মুহম্মদ এলতাসউদ্দিন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841501724,"1st Published,2008",304,বাংলাদেশ,বাংলা
সন্ত্রাসমুক্ত বাংলাদেশ,ড. আবুল কালাম মনজুর মোরশেদ,TK. 230,TK. 173,https://rokomari.com//book/114567/santrashmukta-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f61779438d64_114567.gif,"",সন্ত্রাসমুক্ত বাংলাদেশ,ড. আবুল কালাম মনজুর মোরশেদ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841500531,"1st Published,2003",360,বাংলাদেশ,বাংলা
মহেশখালীর পথে,আল কামাল আবদুল ওহাব,TK. 75,TK. 56,https://rokomari.com//book/114558/moeshkhalir-pathe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f3d8c9bec164_114558.jpg,"",মহেশখালীর পথে,আল কামাল আবদুল ওহাব, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841500671,"Reprint,2008",72,বাংলাদেশ,বাংলা
পারু আমার পারুলিয়া,আবুল কাসেম,TK. 80,TK. 60,https://rokomari.com//book/114555/paru-amar-parulia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/12fc13442f04_114555.gif,"",পারু আমার পারুলিয়া,আবুল কাসেম, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841502542,"1st Published,2011",64,বাংলাদেশ,বাংলা
কষ্টের পাখিরা,মীরা মেহেরুন,TK. 150,TK. 132,https://rokomari.com//book/61840/koster-pakhira,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_61840.GIF,"",কষ্টের পাখিরা,মীরা মেহেরুন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
উৎস সন্ধানে,খোন্দকার এনামুল হক,TK. 300,TK. 255,https://rokomari.com//book/62233/utso-sondhane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62233.GIF,"",উৎস সন্ধানে,খোন্দকার এনামুল হক, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
নির্বাচিত কবিতা,ড. আবুল আজাদ,TK. 150,TK. 132,https://rokomari.com//book/62504/nirbacheto-kabita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_62504.GIF,"",নির্বাচিত কবিতা,ড. আবুল আজাদ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
দাদীর আমলের কথা,মুহম্মদ এলতাসউদ্দিন,TK. 250,TK. 213,https://rokomari.com//book/62962/dadir-amoler-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দাদীর আমলের কথা,মুহম্মদ এলতাসউদ্দিন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
বৃষ্টিবাদল ও ছোট্টপাখি ,রোমানা চৌধুরী,TK. 120,TK. 106,https://rokomari.com//book/62964/bristibadol-o-chottopakhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বৃষ্টিবাদল ও ছোট্টপাখি,রোমানা চৌধুরী, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ইসলামের ইতিহাস ও সংস্কৃতি - ১ম পত্র,ড. সৈয়দ মাহমুদুল হাসান,TK. 170,TK. 165,https://rokomari.com//book/69093/islamic-history-o-culture---1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_0709_69093.GIF,"",ইসলামের ইতিহাস ও সংস্কৃতি - ১ম পত্র,"ড. সৈয়দ মাহমুদুল হাসান,মোঃ আবু তাহের পাটোয়ারী", , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"New and Revised Edition,2016", ,বাংলাদেশ,বাংলা
আমালে ক্বোরআন,আল্‌হাজ্জ মীর রহমত আলী,TK. 250,TK. 213,https://rokomari.com//book/84151/amale-quran,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140723_84151.gif,"",আমালে ক্বোরআন,আল্‌হাজ্জ মীর রহমত আলী, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
কোরআন স্বাস্থ্য ও দীর্ঘজীবন,মোঃ নূরুল ইসলাম বেনু,TK. 450,TK. 383,https://rokomari.com//book/84152/quran-shastho-o-digrojibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140723_84152.gif,"",কোরআন স্বাস্থ্য ও দীর্ঘজীবন,মোঃ নূরুল ইসলাম বেনু, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
ইংরেজি সাহিত্যে ন্যায়-অন্যায়,সিরাজুল ইসলাম চৌধুরী,TK. 150,TK. 132,https://rokomari.com//book/83299/engregi-sahitto-noy-onnay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150223_83299.png,"",ইংরেজি সাহিত্যে ন্যায়-অন্যায়,সিরাজুল ইসলাম চৌধুরী, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি.,9841500159,"1st,2002",160,বাংলাদেশ,বাংলা
পলাতক মানুষের গল্প,শাওন আসগর,TK. 150,TK. 132,https://rokomari.com//book/97440/polatok-manusher-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পলাতক মানুষের গল্প,শাওন আসগর, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
রাষ্ট্র রাজনীতি ও জনগণ,রতনতনু ঘোষ,TK. 450,TK. 383,https://rokomari.com//book/97441/rashto-rajniti-o-jonogon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150305_97441.gif,"",রাষ্ট্র রাজনীতি ও জনগণ,রতনতনু ঘোষ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015",1,বাংলাদেশ,বাংলা
একজন নীরা নেই,জুলফিকার হোসেন তারা,TK. 100,TK. 90,https://rokomari.com//book/97484/ekjon-nera-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",একজন নীরা নেই,জুলফিকার হোসেন তারা, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
মন মানসের চালচিত্র কবি ও কবিতা,হোসেন উদ্দিন,TK. 250,TK. 213,https://rokomari.com//book/97606/mon-manoser-chalchitro-kobi-o-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মন মানসের চালচিত্র কবি ও কবিতা,হোসেন উদ্দিন, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
ছাত্রলীগের ইতিহাস,আবু হানিফ,TK. 200,TK. 176,https://rokomari.com//book/97608/chatroleeger-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছাত্রলীগের ইতিহাস,আবু হানিফ, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
রঙের ফানুস ,এটিএম বদরুল আলম,TK. 125,TK. 110,https://rokomari.com//book/97644/ronger-fanush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রঙের ফানুস,এটিএম বদরুল আলম, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
ভাঙা ইতিহাস,সাকার মুস্তাফা,TK. 120,TK. 106,https://rokomari.com//book/97645/vangar-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভাঙা ইতিহাস,সাকার মুস্তাফা, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., ,"1st,2015", ,বাংলাদেশ,বাংলা
আফ্রিকার কবিতা,ড. করুণাময় গোস্বামী,TK. 150,TK. 132,https://rokomari.com//book/28552/africar-kabita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আফ্রিকার কবিতা,ড. করুণাময় গোস্বামী, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
চোখের কার্নিশে ,নাসরীন নঈম,TK. 80,TK. 72,https://rokomari.com//book/28556/chokher-kernishe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চোখের কার্নিশে,নাসরীন নঈম, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
অগ্নিঝরা বাঁশি,আ স ম নুরুজ্জামান ভূঁয়া,TK. 100,TK. 90,https://rokomari.com//book/28557/ognijhora-bashi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অগ্নিঝরা বাঁশি,আ স ম নুরুজ্জামান ভূঁয়া, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
নিভৃত সংলাপ   ,ড. খালেদা হানুম,TK. 100,TK. 90,https://rokomari.com//book/28559/nivrito-songlap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নিভৃত সংলাপ,ড. খালেদা হানুম, , ,গ্লোব লাইব্রেরী (প্রাঃ) লি., , , ,বাংলাদেশ,বাংলা
